learning_rate,loss,val_loss,accuracy,val_accuracy,epoch
0.0010000000474974513,1.0999442338943481,0.8495472073554993,0.6283453106880188,0.6986483931541443,1
0.0010000000474974513,0.8912516236305237,0.8346090912818909,0.6905189156532288,0.7157814502716064,2
0.0010000000474974513,0.8283344507217407,0.6864238381385803,0.7160574197769165,0.7521416544914246,3
0.0010000000474974513,0.7969117164611816,0.6377775073051453,0.7231560349464417,0.7766990065574646,4
0.0010000000474974513,0.7723365426063538,0.5820145010948181,0.7282963395118713,0.7970683574676514,5
0.0010000000474974513,0.7529845237731934,0.5969770550727844,0.741432785987854,0.7905958294868469,6
0.0010000000474974513,0.7473626732826233,0.5284096002578735,0.7407800555229187,0.8149628639221191,7
0.0010000000474974513,0.7174201607704163,0.5643801093101501,0.7520397901535034,0.8018275499343872,8
0.0010000000474974513,0.7031431794166565,0.5036371946334839,0.7552219033241272,0.8235294222831726,9
0.0010000000474974513,0.7044152021408081,0.5149993300437927,0.7549771666526794,0.819722056388855,10
0.0010000000474974513,0.6829143166542053,0.5166842341423035,0.7576696872711182,0.8208642601966858,11
0.0010000000474974513,0.6666257381439209,0.5005114674568176,0.7643603086471558,0.8242908716201782,12
0.0010000000474974513,0.663878858089447,0.5126901865005493,0.7710509300231934,0.8214353919029236,13
0.0010000000474974513,0.6584922671318054,0.5504794716835022,0.7705613374710083,0.8092518448829651,14
0.0010000000474974513,0.6579268574714661,0.5004029273986816,0.7738250494003296,0.8208642601966858,15
0.0010000000474974513,0.654354989528656,0.5092470049858093,0.7727643847465515,0.8229582905769348,16
0.0010000000474974513,0.6446110606193542,0.4897999167442322,0.7760280966758728,0.8290500640869141,17
0.0010000000474974513,0.6439553499221802,0.5111988186836243,0.7713772654533386,0.8328574299812317,18
0.0010000000474974513,0.6416051983833313,0.4715737998485565,0.7770887613296509,0.837997317314148,19
0.0010000000474974513,0.6293963193893433,0.49132388830184937,0.7820659279823303,0.8282886147499084,20
0.0010000000474974513,0.6348453164100647,0.5011173486709595,0.7796997427940369,0.8223872184753418,21
0.0010000000474974513,0.6265934705734253,0.4647257924079895,0.7845953106880188,0.8385684490203857,22
0.0010000000474974513,0.6315964460372925,0.4418252408504486,0.7799445390701294,0.8440890908241272,23
0.0010000000474974513,0.6182414889335632,0.4708079397678375,0.7874510288238525,0.8381876945495605,24
0.0010000000474974513,0.6170962452888489,0.4889291226863861,0.786308765411377,0.8286693096160889,25
0.0010000000474974513,0.6204107999801636,0.46040868759155273,0.7813315987586975,0.8450409173965454,26
0.0010000000474974513,0.617030918598175,0.4250733256340027,0.7867982983589172,0.8513230681419373,27
0.0010000000474974513,0.6072726845741272,0.4574549198150635,0.7872878313064575,0.8383780717849731,28
0.0010000000474974513,0.6060602068901062,0.4510648846626282,0.7883485555648804,0.8429468870162964,29
0.0010000000474974513,0.5921737551689148,0.42443135380744934,0.7938152551651001,0.8539881706237793,30
