accuracy,loss,learning_rate,val_loss,val_accuracy,epoch
0.6296507716178894,1.0793678760528564,0.0010000000474974513,0.7358965873718262,0.737293004989624,1
0.6967199444770813,0.8788762092590332,0.0010000000474974513,0.6619096994400024,0.7620407342910767,2
0.7198923230171204,0.8178654313087463,0.0010000000474974513,0.5591528415679932,0.8039215803146362,3
0.7272356152534485,0.7814106941223145,0.0010000000474974513,0.6294108629226685,0.7877403497695923,4
0.7390666007995605,0.7498838305473328,0.0010000000474974513,0.6043631434440613,0.7806967496871948,5
0.7427382469177246,0.7392332553863525,0.0010000000474974513,0.5325682163238525,0.8124880790710449,6
0.7513054609298706,0.7124167084693909,0.0010000000474974513,0.5028923749923706,0.8216257095336914,7
0.7529373168945312,0.704956591129303,0.0010000000474974513,0.5268726944923401,0.8147724866867065,8
0.7574249505996704,0.6964483261108398,0.0010000000474974513,0.512802004814148,0.8132495880126953,9
0.7647683024406433,0.6880983114242554,0.0010000000474974513,0.5510717630386353,0.8006853461265564,10
0.7654210329055786,0.677318274974823,0.0010000000474974513,0.5040262341499329,0.8271464109420776,11
0.7634627819061279,0.6785678863525391,0.0010000000474974513,0.42943230271339417,0.8469446301460266,12
0.7666448950767517,0.6610860228538513,0.0010000000474974513,0.47108954191207886,0.8309537172317505,13
0.7743146419525146,0.6521060466766357,0.0010000000474974513,0.48038774728775024,0.8307633996009827,14
0.772682785987854,0.6480361819267273,0.0010000000474974513,0.4654109477996826,0.8370454907417297,15
0.7744777798652649,0.640044093132019,0.0010000000474974513,0.42602598667144775,0.8520845174789429,16
0.7726011872291565,0.6555736064910889,0.0010000000474974513,0.4542914628982544,0.847325325012207,17
0.7817395329475403,0.6295583844184875,0.0010000000474974513,0.4348597228527069,0.8456120491027832,18
0.7830450534820557,0.6307373046875,0.0010000000474974513,0.3658854365348816,0.8724538087844849,19
0.7823923230171204,0.6272000670433044,0.0010000000474974513,0.4167787730693817,0.8568437099456787,20
0.7844321131706238,0.6179694533348083,0.0010000000474974513,0.4396068751811981,0.8458024263381958,21
0.7844321131706238,0.6211796402931213,0.0010000000474974513,0.5697067975997925,0.802969753742218,22
0.783697783946991,0.6153591275215149,0.0010000000474974513,0.3883129060268402,0.8602703213691711,23
0.7888381481170654,0.6154471635818481,0.0010000000474974513,0.4090422987937927,0.8581762909889221,24
0.7890828847885132,0.6043610572814941,0.0010000000474974513,0.44736894965171814,0.841614305973053,25
0.7891644835472107,0.6061875820159912,0.0010000000474974513,0.40488383173942566,0.8593184947967529,26
0.7946311831474304,0.6024261713027954,0.0010000000474974513,0.39122915267944336,0.8638873100280762,27
0.7925097942352295,0.5971593260765076,0.0010000000474974513,0.37190622091293335,0.869217574596405,28
0.7920202612876892,0.5984222888946533,0.0010000000474974513,0.40096762776374817,0.8560822606086731,29
0.7947943806648254,0.5874773263931274,0.0010000000474974513,0.37773942947387695,0.8734056949615479,30
0.795039176940918,0.5890700817108154,0.0010000000474974513,0.388915479183197,0.8627451062202454,31
0.7964262366294861,0.5863792300224304,0.0010000000474974513,0.36519718170166016,0.8711212873458862,32
0.7963446378707886,0.5906585454940796,0.0010000000474974513,0.36691638827323914,0.8732153177261353,33
0.7941416501998901,0.5931446552276611,0.0010000000474974513,0.4009281098842621,0.8644583821296692,34
0.7978948950767517,0.5850573778152466,0.0010000000474974513,0.38978302478790283,0.8633161783218384,35
0.7978132963180542,0.586222767829895,0.0010000000474974513,0.39177408814430237,0.8657909631729126,36
0.7961814403533936,0.586524248123169,0.0010000000474974513,0.39500218629837036,0.8667427897453308,37
0.7965894341468811,0.569468080997467,0.0010000000474974513,0.384154349565506,0.8656005859375,38
0.7999347448348999,0.5720489025115967,0.0010000000474974513,0.36840349435806274,0.871311604976654,39
0.8018929362297058,0.5680197477340698,0.0010000000474974513,0.3391449451446533,0.8878735899925232,40
