learning_rate,val_loss,accuracy,val_accuracy,loss,epoch
0.0010000000474974513,0.9948657155036926,0.5764617919921875,0.6492505073547363,1.269355297088623,1
0.0010000000474974513,0.8852414488792419,0.628078818321228,0.6792291402816772,1.0737875699996948,2
0.0010000000474974513,0.8414952754974365,0.6428571343421936,0.692077100276947,1.0213541984558105,3
0.0010000000474974513,0.9152804613113403,0.6542086005210876,0.6723768711090088,0.9912559986114502,4
0.0010000000474974513,0.8437820672988892,0.6659884452819824,0.6946466565132141,0.9522674679756165,5
0.0010000000474974513,0.8021864891052246,0.6642749905586243,0.7160599827766418,0.9556164145469666,6
0.0010000000474974513,0.7846907377243042,0.6679160594940186,0.7319057583808899,0.9389163255691528,7
0.0010000000474974513,0.8776652812957764,0.670164942741394,0.6916488409042358,0.919231653213501,8
0.0010000000474974513,0.7810518145561218,0.6799100637435913,0.7293362021446228,0.9170160293579102,9
0.0010000000474974513,0.8011122345924377,0.6773399114608765,0.7229121923446655,0.9061394333839417,10
0.0010000000474974513,0.7382697463035583,0.6848361492156982,0.7319057583808899,0.8899242281913757,11
0.0010000000474974513,0.809074342250824,0.6893339157104492,0.7139186263084412,0.8770081400871277,12
0.0010000000474974513,0.7368820905685425,0.6957592368125916,0.7438971996307373,0.877406895160675,13
0.0010000000474974513,0.7941475510597229,0.6889055371284485,0.7194860577583313,0.8722015023231506,14
0.0010000000474974513,0.769399106502533,0.7023987770080566,0.7404710650444031,0.850323498249054,15
0.0010000000474974513,0.7686741352081299,0.6957592368125916,0.7404710650444031,0.8612633347511292,16
0.0010000000474974513,0.7301084995269775,0.6995074152946472,0.7507494688034058,0.8605021834373474,17
0.0010000000474974513,0.7434868216514587,0.698008120059967,0.7438971996307373,0.8566875457763672,18
0.0010000000474974513,0.7473956942558289,0.7002570033073425,0.7263383269309998,0.843761682510376,19
0.0010000000474974513,0.7009909749031067,0.7082887291908264,0.7528907656669617,0.8341813087463379,20
0.0010000000474974513,0.7916288375854492,0.7110730409622192,0.7276231050491333,0.829052209854126,21
0.0010000000474974513,0.7909839153289795,0.7041122317314148,0.732762336730957,0.8292262554168701,22
0.0010000000474974513,0.7203004360198975,0.7120368480682373,0.7451820373535156,0.8236405849456787,23
0.0010000000474974513,0.7177273631095886,0.7019704580307007,0.759314775466919,0.8325245380401611,24
0.0010000000474974513,0.7807846665382385,0.7121439576148987,0.7271948456764221,0.8203359842300415,25
0.0010000000474974513,0.672444760799408,0.6998286843299866,0.7700214385986328,0.8365110158920288,26
0.0010000000474974513,0.6927931904792786,0.7068965435028076,0.762312650680542,0.8230497241020203,27
0.0010000000474974513,0.7493575215339661,0.7135360836982727,0.7336188554763794,0.8123354911804199,28
0.0010000000474974513,0.6882367134094238,0.717391312122345,0.7580299973487854,0.8083371520042419,29
0.0010000000474974513,0.7191471457481384,0.7177125811576843,0.762312650680542,0.8043438792228699,30
0.0010000000474974513,0.660383403301239,0.7116084694862366,0.7777301669120789,0.8002282381057739,31
0.0010000000474974513,0.7086992263793945,0.7168558835983276,0.7520342469215393,0.8101401925086975,32
0.0010000000474974513,0.8105036020278931,0.7146070003509521,0.7220556735992432,0.8057044148445129,33
9.999999747378752e-06,0.6111189723014832,0.722852885723114,0.7807280421257019,0.7909694910049438,34
9.999999747378752e-06,0.6504170894622803,0.7382737398147583,0.7760171294212341,0.7444139719009399,35
9.999999747378752e-06,0.6004922986030579,0.7433069348335266,0.7854389548301697,0.735205352306366,36
9.999999747378752e-06,0.5619410276412964,0.743842363357544,0.8059957027435303,0.7180641293525696,37
9.999999747378752e-06,0.5758126974105835,0.755407989025116,0.8038544058799744,0.6988055109977722,38
9.999999747378752e-06,0.5874601006507874,0.7535874843597412,0.7991434931755066,0.6967464685440063,39
9.999999747378752e-06,0.5814181566238403,0.761083722114563,0.8038544058799744,0.6757290363311768,40
9.999999747378752e-06,0.5539777874946594,0.7671878337860107,0.810706615447998,0.6652464866638184,41
9.999999747378752e-06,0.5266509652137756,0.7791818380355835,0.8265524506568909,0.6392364501953125,42
9.999999747378752e-06,0.5471732020378113,0.7730777263641357,0.8175588846206665,0.6401960849761963,43
9.999999747378752e-06,0.5457093715667725,0.7766116857528687,0.8094218373298645,0.6342222690582275,44
9.999999747378752e-06,0.5045296549797058,0.7778967618942261,0.8282655477523804,0.6361339092254639,45
9.999999747378752e-06,0.5506368279457092,0.7841079235076904,0.8175588846206665,0.6244201064109802,46
9.999999747378752e-06,0.5477337837219238,0.7825015783309937,0.8167023658752441,0.616066575050354,47
9.999999747378752e-06,0.537117600440979,0.7820732593536377,0.8171306252479553,0.6139134764671326,48
9.999999747378752e-06,0.5076985955238342,0.7906404137611389,0.8321199417114258,0.5943392515182495,49
4.999999873689376e-06,0.5169437527656555,0.7971728444099426,0.8342612385749817,0.5719181299209595,50
4.999999873689376e-06,0.4854190945625305,0.8044549226760864,0.8436830639839172,0.5592966675758362,51
