val_loss,accuracy,loss,val_accuracy,learning_rate,epoch
0.8675394654273987,0.6124438047409058,1.1252939701080322,0.6959314942359924,0.0010000000474974513,1
0.8057194352149963,0.6829085350036621,0.9052774906158447,0.7259100675582886,0.0010000000474974513,2
0.729301929473877,0.7005782723426819,0.8537704944610596,0.7511777281761169,0.0010000000474974513,3
0.6964861750602722,0.7149282693862915,0.8225044012069702,0.7601712942123413,0.0010000000474974513,4
0.672586977481842,0.7253159284591675,0.774924099445343,0.7678800821304321,0.0010000000474974513,5
0.6173925399780273,0.7322767376899719,0.7665404081344604,0.7922912240028381,0.0010000000474974513,6
0.6188313961029053,0.7314199805259705,0.7586023807525635,0.7897216081619263,0.0010000000474974513,7
0.6180763840675354,0.7435210943222046,0.7228978276252747,0.786723792552948,0.0010000000474974513,8
0.5686048865318298,0.7479117512702942,0.7293224334716797,0.8085653185844421,0.0010000000474974513,9
0.5451194643974304,0.7534803748130798,0.7125003933906555,0.8111348748207092,0.0010000000474974513,10
0.6180626153945923,0.7574427127838135,0.6954774856567383,0.7850106954574585,0.0010000000474974513,11
0.5315425395965576,0.760869562625885,0.6976486444473267,0.8209850192070007,0.0010000000474974513,12
0.54380863904953,0.7612979412078857,0.6796260476112366,0.8201285004615784,0.0010000000474974513,13
0.5906772017478943,0.7647247910499573,0.6711952090263367,0.8098500967025757,0.0010000000474974513,14
0.5907551050186157,0.7672949433326721,0.6653764247894287,0.8089935779571533,0.0010000000474974513,15
0.519722044467926,0.771471381187439,0.6550025939941406,0.8308351039886475,0.0010000000474974513,16
0.5415287613868713,0.7699721455574036,0.6500996947288513,0.8064239621162415,0.0010000000474974513,17
0.5809072852134705,0.7726494073867798,0.6471965312957764,0.8115631937980652,0.0010000000474974513,18
0.5155834555625916,0.7797172665596008,0.6333107948303223,0.8274089694023132,0.0010000000474974513,19
0.5735335946083069,0.7862497568130493,0.621637761592865,0.8124197125434875,0.0010000000474974513,20
0.5469479560852051,0.7827157974243164,0.6225072741508484,0.8179871439933777,0.0010000000474974513,21
0.5198147296905518,0.7761833071708679,0.6290205121040344,0.8205567598342896,0.0010000000474974513,22
0.5529031157493591,0.782608687877655,0.6169601082801819,0.8111348748207092,0.0010000000474974513,23
0.545576274394989,0.7822874188423157,0.6251574158668518,0.8111348748207092,0.0010000000474974513,24
0.5461137890815735,0.7834653854370117,0.6226427555084229,0.8209850192070007,0.0010000000474974513,25
0.5151581764221191,0.7858213782310486,0.6178697943687439,0.8278372883796692,0.0010000000474974513,26
0.5362353920936584,0.7865710258483887,0.6068428754806519,0.8299785852432251,0.0010000000474974513,27
0.5244668126106262,0.7917112708091736,0.5942180752754211,0.8239828944206238,0.0010000000474974513,28
0.5368697047233582,0.7898907661437988,0.6061995029449463,0.8145610094070435,0.0010000000474974513,29
0.5095875263214111,0.7834653854370117,0.6062942743301392,0.8385438919067383,0.0010000000474974513,30
0.4757136404514313,0.788284420967102,0.6053256988525391,0.8475374579429626,0.0010000000474974513,31
0.5367844104766846,0.7899978756904602,0.5958438515663147,0.8175588846206665,0.0010000000474974513,32
0.5150377750396729,0.7957806587219238,0.5973060131072998,0.8385438919067383,0.0010000000474974513,33
0.4439411759376526,0.8018847703933716,0.5690017938613892,0.856531023979187,9.999999747378752e-06,34
0.4551905691623688,0.8200899362564087,0.5222460031509399,0.8543897271156311,9.999999747378752e-06,35
0.44215288758277893,0.8225530385971069,0.5192301273345947,0.8603854179382324,9.999999747378752e-06,36
0.4403114318847656,0.8171985149383545,0.5156230926513672,0.8638115525245667,9.999999747378752e-06,37
0.4180152416229248,0.8255515098571777,0.4955156743526459,0.8659529089927673,9.999999747378752e-06,38
0.431656152009964,0.8358320593833923,0.47333523631095886,0.8655246496200562,9.999999747378752e-06,39
0.41885673999786377,0.8317626714706421,0.46878716349601746,0.8650963306427002,9.999999747378752e-06,40
0.4342382550239563,0.8374384045600891,0.46227696537971497,0.8663811683654785,9.999999747378752e-06,41
0.42156851291656494,0.8414007425308228,0.46195244789123535,0.8680942058563232,9.999999747378752e-06,42
0.4125313460826874,0.8380809426307678,0.45705321431159973,0.8698073029518127,4.999999873689376e-06,43
0.4183894693851471,0.8424715995788574,0.4516318738460541,0.8693790435791016,4.999999873689376e-06,44
0.4114079773426056,0.844292163848877,0.4526035785675049,0.8710920810699463,4.999999873689376e-06,45
0.4077110290527344,0.8427928686141968,0.46794071793556213,0.8710920810699463,4.999999873689376e-06,46
0.4135495126247406,0.8346540927886963,0.4636287987232208,0.8676659464836121,4.999999873689376e-06,47
0.4121052324771881,0.8460055589675903,0.4426487684249878,0.8689507246017456,4.999999873689376e-06,48
0.3984749913215637,0.8453630208969116,0.4467763900756836,0.8732333779335022,4.999999873689376e-06,49
0.39773645997047424,0.8497536778450012,0.43730878829956055,0.8740899562835693,4.999999873689376e-06,50
0.412720650434494,0.8531805276870728,0.4342762231826782,0.8698073029518127,4.999999873689376e-06,51
