epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5829942226409912,0.0010000000474974513,1.218419075012207,0.648201048374176,0.9904494285583496
1,0.6399657130241394,0.0010000000474974513,1.0371350049972534,0.6824671626091003,0.9139864444732666
2,0.6477475762367249,0.0010000000474974513,0.9959268569946289,0.6921759247779846,0.8460438847541809
3,0.665738582611084,0.0010000000474974513,0.9493897557258606,0.7167332768440247,0.7961846590042114
4,0.672877848148346,0.0010000000474974513,0.931979238986969,0.7158766388893127,0.7723462581634521
5,0.679731547832489,0.0010000000474974513,0.9217224717140198,0.7250142693519592,0.7667204141616821
6,0.6783037185668945,0.0010000000474974513,0.9033565521240234,0.732153058052063,0.7520272731781006
7,0.6808738708496094,0.0010000000474974513,0.9036595821380615,0.7384352087974548,0.724276602268219
8,0.68422931432724,0.0010000000474974513,0.8978676795959473,0.7324386239051819,0.7324173450469971
9,0.6914399862289429,0.0010000000474974513,0.8724798560142517,0.737864077091217,0.7108757495880127
10,0.6943671107292175,0.0010000000474974513,0.8740309476852417,0.7407196164131165,0.7198715209960938
11,0.7002213001251221,0.0010000000474974513,0.8601177334785461,0.7384352087974548,0.7315234541893005
12,0.7031484246253967,0.0010000000474974513,0.8501603603363037,0.7532838582992554,0.683046817779541
13,0.7005782723426819,0.0010000000474974513,0.8489788174629211,0.7532838582992554,0.6800106167793274
14,0.6947240829467773,0.0010000000474974513,0.8565196990966797,0.7604225873947144,0.6606984734535217
15,0.7045762538909912,0.0010000000474974513,0.8488467931747437,0.755568265914917,0.6713782548904419
16,0.7053616046905518,0.0010000000474974513,0.8430209159851074,0.7558537721633911,0.6629214286804199
17,0.7101449370384216,0.0010000000474974513,0.8333590030670166,0.7624214887619019,0.6539100408554077
18,0.7040051221847534,0.0010000000474974513,0.8326923847198486,0.767275869846344,0.6612786650657654
19,0.7065752744674683,0.0010000000474974513,0.8357051014900208,0.7518560886383057,0.7136188745498657
20,0.7105019092559814,0.0010000000474974513,0.8246349692344666,0.7527127265930176,0.685908317565918
21,0.7088598608970642,0.0010000000474974513,0.8252202868461609,0.767275869846344,0.6638318300247192
22,0.7156421542167664,0.0010000000474974513,0.8134484887123108,0.7786979079246521,0.6257455348968506
23,0.7147854566574097,0.0010000000474974513,0.8202489614486694,0.7587093114852905,0.675697922706604
24,0.7174270153045654,0.0010000000474974513,0.813209056854248,0.7664191722869873,0.6579216718673706
25,0.716141939163208,0.0010000000474974513,0.8066866993904114,0.7527127265930176,0.6894487142562866
26,0.7191404104232788,0.0010000000474974513,0.799152135848999,0.7721301913261414,0.654734194278717
27,0.7202113270759583,0.0010000000474974513,0.8057806491851807,0.7655625343322754,0.6438611745834351
28,0.7176411747932434,0.0010000000474974513,0.7998576760292053,0.7581381797790527,0.6617749333381653
29,0.7217105627059937,0.0010000000474974513,0.7903479933738708,0.744431734085083,0.7205567955970764
30,0.7211394309997559,0.0010000000474974513,0.7957322001457214,0.7498572468757629,0.6933455467224121
