learning_rate,val_accuracy,val_loss,accuracy,loss,epoch
0.0010000000474974513,0.7049250602722168,0.8513326048851013,0.5911962985992432,1.213008165359497,1
0.0010000000474974513,0.7079229354858398,0.8213862776756287,0.6462461352348328,0.9980922937393188,2
0.0010000000474974513,0.7314774990081787,0.7421270608901978,0.6695941090583801,0.9419988393783569,3
0.0010000000474974513,0.7421841621398926,0.7265095710754395,0.6811609864234924,0.9097238779067993,4
0.0010000000474974513,0.7558886408805847,0.686981737613678,0.6930491328239441,0.8760268092155457,5
0.0010000000474974513,0.7635974287986755,0.6719904541969299,0.6944414973258972,0.8684531450271606,6
0.0010000000474974513,0.7773019075393677,0.6305751204490662,0.703223705291748,0.8505133986473083,7
0.0010000000474974513,0.7892933487892151,0.6037085056304932,0.7067580819129944,0.8333386182785034,8
0.0010000000474974513,0.7760171294212341,0.6414967775344849,0.7097569108009338,0.8174474239349365,9
0.0010000000474974513,0.7678800821304321,0.6482104659080505,0.716825544834137,0.7973967790603638,10
0.0010000000474974513,0.7935760021209717,0.5652631521224976,0.7133983373641968,0.7952171564102173,11
0.0010000000474974513,0.7815845608711243,0.6155332326889038,0.7226089835166931,0.7818814516067505,12
0.0010000000474974513,0.7922912240028381,0.5858673453330994,0.7281782031059265,0.7827147841453552,13
0.0010000000474974513,0.7828693985939026,0.6063891053199768,0.7270001173019409,0.7653653621673584,14
0.0010000000474974513,0.7974303960800171,0.5830211043357849,0.7313912510871887,0.7682813405990601,15
0.0010000000474974513,0.8102783560752869,0.5494786500930786,0.7410303354263306,0.7534441351890564,16
0.0010000000474974513,0.7773019075393677,0.6109746098518372,0.7417800426483154,0.7401991486549377,17
0.0010000000474974513,0.8132762312889099,0.5300877690315247,0.7431723475456238,0.7389602661132812,18
0.0010000000474974513,0.8137044906616211,0.5336915254592896,0.7381386160850525,0.7437056303024292,19
0.0010000000474974513,0.8149892687797546,0.5372478365898132,0.7422084212303162,0.733837366104126,20
0.0010000000474974513,0.8188436627388,0.5351751446723938,0.7449930310249329,0.7298672795295715,21
0.0010000000474974513,0.8089935779571533,0.5467263460159302,0.7463853359222412,0.7268703579902649,22
0.0010000000474974513,0.8047109246253967,0.5390597581863403,0.7472421526908875,0.7152414321899414,23
0.0010000000474974513,0.8059957027435303,0.5327598452568054,0.7469208240509033,0.716257631778717,24
0.0010000000474974513,0.8274089694023132,0.49948033690452576,0.7508835792541504,0.7270771861076355,25
0.0010000000474974513,0.8111348748207092,0.5427287817001343,0.7480989694595337,0.7256826758384705,26
0.0010000000474974513,0.8068522214889526,0.5267159342765808,0.7419942021369934,0.7239327430725098,27
0.0010000000474974513,0.8128479719161987,0.5349669456481934,0.7538824081420898,0.7024644017219543,28
0.0010000000474974513,0.8171306252479553,0.5208938121795654,0.7451001405715942,0.7151574492454529,29
0.0010000000474974513,0.8256959319114685,0.4925440847873688,0.7521687746047974,0.6951969265937805,30
0.0010000000474974513,0.8214132785797119,0.5066577792167664,0.7562386393547058,0.6897057890892029,31
0.0010000000474974513,0.8158458471298218,0.5232937335968018,0.7536681890487671,0.7049145698547363,32
0.0010000000474974513,0.8175588846206665,0.5042181015014648,0.7536681890487671,0.6847476363182068,33
9.999999747378752e-06,0.8265524506568909,0.4819158613681793,0.766198992729187,0.6717963218688965,34
9.999999747378752e-06,0.8329764604568481,0.46320247650146484,0.7769090533256531,0.6350456476211548,35
9.999999747378752e-06,0.8394004106521606,0.45712044835090637,0.7790510654449463,0.621869683265686,36
9.999999747378752e-06,0.8492505550384521,0.4328572154045105,0.7798007726669312,0.6187101006507874,37
9.999999747378752e-06,0.8522483706474304,0.4233461320400238,0.7893327474594116,0.6095500588417053,38
9.999999747378752e-06,0.8556745052337646,0.42016470432281494,0.7924386858940125,0.5797789692878723,39
9.999999747378752e-06,0.8509635925292969,0.4188759922981262,0.7998286485671997,0.578323483467102,40
9.999999747378752e-06,0.8539614677429199,0.412508100271225,0.8004712462425232,0.5777314901351929,41
9.999999747378752e-06,0.8582441210746765,0.4043031632900238,0.8051836490631104,0.5582131743431091,42
9.999999747378752e-06,0.8595288991928101,0.39938241243362427,0.802506148815155,0.5642862319946289,43
9.999999747378752e-06,0.8573876023292542,0.3944796919822693,0.8013280630111694,0.5605013966560364,44
9.999999747378752e-06,0.8625267744064331,0.38763952255249023,0.804862380027771,0.5587805509567261,45
9.999999747378752e-06,0.8603854179382324,0.39083030819892883,0.8083966970443726,0.5494615435600281,46
9.999999747378752e-06,0.8629550337791443,0.3810889422893524,0.8123594522476196,0.5482006072998047,47
9.999999747378752e-06,0.8668094277381897,0.37196123600006104,0.804862380027771,0.546049177646637,48
9.999999747378752e-06,0.8680942058563232,0.3672540485858917,0.8122523427009583,0.531255841255188,49
9.999999747378752e-06,0.8723768591880798,0.36870723962783813,0.8214629888534546,0.5202259421348572,50
