val_accuracy,val_loss,accuracy,loss,learning_rate,epoch
0.6826552748680115,0.941278874874115,0.5871707201004028,1.2235559225082397,0.0010000000474974513,1
0.7160599827766418,0.8151689767837524,0.6534590125083923,0.9931145906448364,0.0010000000474974513,2
0.7331905961036682,0.7854698896408081,0.6723067164421082,0.9373992085456848,0.0010000000474974513,3
0.740899384021759,0.7383846640586853,0.6769115328788757,0.913772702217102,0.0010000000474974513,4
0.7310492396354675,0.7307500243186951,0.6895480751991272,0.8807196617126465,0.0010000000474974513,5
0.7468950748443604,0.6933467388153076,0.7023987770080566,0.8494051098823547,0.0010000000474974513,6
0.762312650680542,0.6781563758850098,0.7108588814735413,0.831271767616272,0.0010000000474974513,7
0.7588865160942078,0.6866065263748169,0.711715579032898,0.8266929984092712,0.0010000000474974513,8
0.7533190846443176,0.6813211441040039,0.71150141954422,0.8156235218048096,0.0010000000474974513,9
0.7880085706710815,0.6291731595993042,0.7121439576148987,0.8031200766563416,0.0010000000474974513,10
0.7768736481666565,0.6319382190704346,0.7194259762763977,0.7991089224815369,0.0010000000474974513,11
0.7875803112983704,0.6075475811958313,0.7247804403305054,0.7793571352958679,0.0010000000474974513,12
0.7888650894165039,0.5935619473457336,0.7300278544425964,0.7813108563423157,0.0010000000474974513,13
0.7880085706710815,0.596015214920044,0.7338830828666687,0.7494471073150635,0.0010000000474974513,14
0.778586745262146,0.5934856534004211,0.73324054479599,0.7616572976112366,0.0010000000474974513,15
0.7820128202438354,0.5979117751121521,0.7343114018440247,0.7475801110267639,0.0010000000474974513,16
0.7978586554527283,0.5730792284011841,0.7366673946380615,0.7372592687606812,0.0010000000474974513,17
0.791862964630127,0.5715916752815247,0.7370957136154175,0.7367983460426331,0.0010000000474974513,18
0.7897216081619263,0.5771116614341736,0.7392375469207764,0.7317407131195068,0.0010000000474974513,19
0.7922912240028381,0.5848822593688965,0.7418076395988464,0.7233788967132568,0.0010000000474974513,20
0.8068522214889526,0.5678250789642334,0.7433069348335266,0.7202184200286865,0.0010000000474974513,21
0.7892933487892151,0.5940955877304077,0.7482330203056335,0.7095354199409485,0.0010000000474974513,22
0.7901498675346375,0.5791703462600708,0.7485542893409729,0.7186189293861389,0.0010000000474974513,23
0.7910064458847046,0.611994743347168,0.7485542893409729,0.7163301706314087,0.0010000000474974513,24
0.7952890992164612,0.5827432870864868,0.7518740892410278,0.7074186205863953,0.0010000000474974513,25
0.7892933487892151,0.5909746885299683,0.75497967004776,0.6930981874465942,0.0010000000474974513,26
0.7952890992164612,0.5635890960693359,0.7604411840438843,0.6874120235443115,0.0010000000474974513,27
0.791862964630127,0.5862038135528564,0.7536945939064026,0.6954267024993896,0.0010000000474974513,28
0.8064239621162415,0.5446260571479797,0.7523024082183838,0.6968376040458679,0.0010000000474974513,29
0.8047109246253967,0.566495418548584,0.7605482935905457,0.6830714344978333,0.0010000000474974513,30
0.7982869148254395,0.5798136591911316,0.75497967004776,0.6932821869850159,0.0010000000474974513,31
0.7991434931755066,0.555208146572113,0.7611908316612244,0.689386785030365,0.0010000000474974513,32
0.7991434931755066,0.5695749521255493,0.7629042863845825,0.6659414768218994,0.0010000000474974513,33
0.8089935779571533,0.5536811947822571,0.7661169171333313,0.673003613948822,9.999999747378752e-06,34
0.8137044906616211,0.5254403352737427,0.7681516408920288,0.647007942199707,9.999999747378752e-06,35
0.8167023658752441,0.508665144443512,0.7785392999649048,0.6166249513626099,9.999999747378752e-06,36
0.8192719221115112,0.4982849657535553,0.7830370664596558,0.6093616485595703,9.999999747378752e-06,37
0.8226980566978455,0.4885658919811249,0.7897836565971375,0.5990964770317078,9.999999747378752e-06,38
0.8291220664978027,0.4774392247200012,0.791818380355835,0.5863467454910278,9.999999747378752e-06,39
0.8274089694023132,0.47634145617485046,0.8003855347633362,0.5832881331443787,9.999999747378752e-06,40
0.8316916227340698,0.4643266499042511,0.7997429966926575,0.5738393068313599,9.999999747378752e-06,41
0.8291220664978027,0.47295549511909485,0.8037052750587463,0.5625041723251343,9.999999747378752e-06,42
0.832548201084137,0.4657302498817444,0.8075605034828186,0.554827868938446,9.999999747378752e-06,43
0.8389721512794495,0.4524693191051483,0.8122724294662476,0.5396438837051392,9.999999747378752e-06,44
0.8381156325340271,0.4577116072177887,0.8079888820648193,0.549690842628479,9.999999747378752e-06,45
0.8419700264930725,0.4459865689277649,0.8100235462188721,0.5392472147941589,9.999999747378752e-06,46
0.8402569890022278,0.4421761929988861,0.8119511604309082,0.5436781048774719,9.999999747378752e-06,47
0.8423982858657837,0.4402320086956024,0.8115227818489075,0.538185179233551,9.999999747378752e-06,48
0.8445396423339844,0.43742507696151733,0.8150567412376404,0.5316798090934753,9.999999747378752e-06,49
0.8475374579429626,0.429891973733902,0.8163418173789978,0.5293002128601074,9.999999747378752e-06,50
