loss,accuracy,val_loss,val_accuracy,learning_rate,epoch
1.1357324123382568,0.6163650155067444,0.8643545508384705,0.6886509656906128,0.0010000000474974513,1
0.9335957169532776,0.6760201454162598,0.7583438158035278,0.7430406808853149,0.0010000000474974513,2
0.8585454821586609,0.7018314003944397,0.8280571103096008,0.721627414226532,0.0010000000474974513,3
0.8281320929527283,0.7124344110488892,0.7922736406326294,0.7220556735992432,0.0010000000474974513,4
0.8073578476905823,0.7156473994255066,0.6188600063323975,0.7961456179618835,0.0010000000474974513,5
0.7862548828125,0.7228232026100159,0.6050961017608643,0.7914347052574158,0.0010000000474974513,6
0.7647761702537537,0.7319267392158508,0.5940565466880798,0.7965738773345947,0.0010000000474974513,7
0.748407781124115,0.7361036539077759,0.6242179870605469,0.786295473575592,0.0010000000474974513,8
0.7277324795722961,0.7451001405715942,0.6006796956062317,0.791862964630127,0.0010000000474974513,9
0.741532564163208,0.7431723475456238,0.5723180174827576,0.810706615447998,0.0010000000474974513,10
0.7109857797622681,0.7512049078941345,0.5967730283737183,0.79486083984375,0.0010000000474974513,11
0.7168465852737427,0.7478847503662109,0.5644246339797974,0.8059957027435303,0.0010000000474974513,12
0.7012237310409546,0.7539895176887512,0.5749708414077759,0.8042826652526855,0.0010000000474974513,13
0.6934226751327515,0.7524901032447815,0.5689918994903564,0.7991434931755066,0.0010000000474974513,14
0.6839566826820374,0.7579522132873535,0.6134527325630188,0.7952890992164612,0.0010000000474974513,15
0.673578143119812,0.7663061022758484,0.545648992061615,0.8128479719161987,0.0010000000474974513,16
0.6651962399482727,0.7673770785331726,0.5293527245521545,0.8158458471298218,0.0010000000474974513,17
0.6555262804031372,0.7696262001991272,0.5321571826934814,0.8175588846206665,0.0010000000474974513,18
0.6635499000549316,0.7712327241897583,0.5145622491836548,0.824411153793335,0.0010000000474974513,19
0.6591235995292664,0.7691978216171265,0.5192095041275024,0.8218415379524231,0.0010000000474974513,20
0.6485309600830078,0.772732138633728,0.48730871081352234,0.8372591137886047,0.0010000000474974513,21
0.6400113701820374,0.7777658700942993,0.5046350359916687,0.8338329792022705,0.0010000000474974513,22
0.6417102217674255,0.7729463577270508,0.4897323548793793,0.8368308544158936,0.0010000000474974513,23
0.6409431099891663,0.7786226868629456,0.49278905987739563,0.8376873731613159,0.0010000000474974513,24
0.6335442066192627,0.7785155773162842,0.4660479426383972,0.8394004106521606,0.0010000000474974513,25
0.6351510882377625,0.7820498943328857,0.5173877477645874,0.824411153793335,0.0010000000474974513,26
0.6197530627250671,0.7790510654449463,0.48618894815444946,0.835117757320404,0.0010000000474974513,27
0.6284914612770081,0.7786226868629456,0.47599345445632935,0.843254804611206,0.0010000000474974513,28
0.6091483235359192,0.7890114784240723,0.4933661222457886,0.8368308544158936,0.0010000000474974513,29
0.6062169671058655,0.7872978448867798,0.4831834137439728,0.8346894979476929,0.0010000000474974513,30
0.6235377192497253,0.782906711101532,0.44010570645332336,0.8436830639839172,0.0010000000474974513,31
0.6092065572738647,0.7861197590827942,0.5063204169273376,0.8265524506568909,0.0010000000474974513,32
0.595176637172699,0.7902966737747192,0.46573755145072937,0.8389721512794495,0.0010000000474974513,33
0.5688890218734741,0.8041126728057861,0.4521404802799225,0.8526766300201416,9.999999747378752e-06,34
0.5416379570960999,0.8135375380516052,0.43235543370246887,0.8531049489974976,9.999999747378752e-06,35
0.5279552936553955,0.8196423053741455,0.418258935213089,0.8591006398200989,9.999999747378752e-06,36
0.5125658512115479,0.8230695128440857,0.4398786127567291,0.8492505550384521,9.999999747378752e-06,37
0.5182801485061646,0.8180357813835144,0.42059192061424255,0.8612419962882996,9.999999747378752e-06,38
0.49787676334381104,0.8252115249633789,0.4063087999820709,0.864668071269989,9.999999747378752e-06,39
0.500623345375061,0.8272464275360107,0.37194645404815674,0.8732333779335022,9.999999747378752e-06,40
0.47133877873420715,0.8366712927818298,0.3893815577030182,0.8715203404426575,9.999999747378752e-06,41
0.4976213872432709,0.824461817741394,0.3827441930770874,0.8723768591880798,9.999999747378752e-06,42
0.4690382480621338,0.8395630121231079,0.37142714858055115,0.8770877718925476,9.999999747378752e-06,43
0.4677619934082031,0.8354932069778442,0.377218097448349,0.8779443502426147,9.999999747378752e-06,44
0.4804273247718811,0.8308878540992737,0.3673894703388214,0.8817987442016602,9.999999747378752e-06,45
0.46465134620666504,0.8381707072257996,0.3666485548019409,0.8783726096153259,9.999999747378752e-06,46
0.46430259943008423,0.8344221711158752,0.3484112322330475,0.8852248191833496,9.999999747378752e-06,47
0.4597787857055664,0.8397772312164307,0.3612416982650757,0.8817987442016602,9.999999747378752e-06,48
0.4654999375343323,0.8383849263191223,0.3670167624950409,0.8753747344017029,9.999999747378752e-06,49
0.4473753273487091,0.8432044386863708,0.33705371618270874,0.8869379162788391,9.999999747378752e-06,50
