accuracy,val_loss,learning_rate,val_accuracy,loss,epoch
0.6314458250999451,0.7410100698471069,0.0010000000474974513,0.7453368902206421,1.084303617477417,1
0.6889686584472656,0.6773725152015686,0.0010000000474974513,0.767034649848938,0.8799014687538147,2
0.707571804523468,0.6292420029640198,0.0010000000474974513,0.7773125171661377,0.8258605599403381,3
0.7204634547233582,0.5969669222831726,0.0010000000474974513,0.8012942671775818,0.7929804921150208,4
0.7301729917526245,0.5617977976799011,0.0010000000474974513,0.8089075088500977,0.7656955122947693,5
0.7410247921943665,0.5464841723442078,0.0010000000474974513,0.8142367601394653,0.7435092329978943,6
0.7464098930358887,0.5096997618675232,0.0010000000474974513,0.824514627456665,0.7270360589027405,7
0.7487761378288269,0.47379884123802185,0.0010000000474974513,0.8382185101509094,0.7216089367866516,8
0.7573433518409729,0.5018927454948425,0.0010000000474974513,0.8298439383506775,0.6959259510040283,9
0.7602806687355042,0.503604531288147,0.0010000000474974513,0.8321279287338257,0.6882185339927673,10
0.7606070637702942,0.4615386128425598,0.0010000000474974513,0.8473544120788574,0.6890426874160767,11
0.7696638107299805,0.45707008242607117,0.0010000000474974513,0.846973717212677,0.6696122288703918,12
0.7739882469177246,0.4938853681087494,0.0010000000474974513,0.8374571800231934,0.6468811631202698,13
0.7719484567642212,0.5075972080230713,0.0010000000474974513,0.8340312242507935,0.6581202745437622,14
0.7744777798652649,0.4699169993400574,0.0010000000474974513,0.8363152146339417,0.6471027135848999,15
0.7757017016410828,0.4387173652648926,0.0010000000474974513,0.851161003112793,0.6444125175476074,16
0.7805156707763672,0.43425145745277405,0.0010000000474974513,0.8492577075958252,0.6343468427658081,17
0.7816579341888428,0.43236514925956726,0.0010000000474974513,0.8572516441345215,0.6303631067276001,18
0.7813315987586975,0.4337838888168335,0.0010000000474974513,0.8515416979789734,0.6317689418792725,19
0.7757833003997803,0.41215232014656067,0.0010000000474974513,0.8599162697792053,0.6328935623168945,20
0.7916938662528992,0.4788505733013153,0.0010000000474974513,0.8496383428573608,0.609123945236206,21
0.7824738621711731,0.43866345286369324,0.0010000000474974513,0.8507803678512573,0.6207077503204346,22
0.790143609046936,0.41683074831962585,0.0010000000474974513,0.8667681813240051,0.6043750047683716,23
0.7908779382705688,0.45517823100090027,0.0010000000474974513,0.8507803678512573,0.6133196353912354,24
0.7911227345466614,0.39433997869491577,0.0010000000474974513,0.8682908415794373,0.5992530584335327,25
0.7893276810646057,0.45562681555747986,0.0010000000474974513,0.8477350473403931,0.5976457595825195,26
0.7856560349464417,0.4011199474334717,0.0010000000474974513,0.8671488165855408,0.6122961044311523,27
0.7837793827056885,0.4017004072666168,0.0010000000474974513,0.8633422255516052,0.6089187860488892,28
0.7946311831474304,0.3965092897415161,0.0010000000474974513,0.8625808954238892,0.593075692653656,29
0.795202374458313,0.4073393940925598,0.0010000000474974513,0.856109619140625,0.5820449590682983,30
0.7900620102882385,0.395560085773468,0.0010000000474974513,0.8622002005577087,0.5985717177391052,31
0.7943864464759827,0.37956663966178894,0.0010000000474974513,0.8717167973518372,0.5939103960990906,32
0.8006690740585327,0.4416469633579254,0.0010000000474974513,0.8488770723342896,0.5848249197006226,33
0.7953655123710632,0.40320050716400146,0.0010000000474974513,0.8583936095237732,0.5821130275726318,34
0.7916938662528992,0.39751511812210083,0.0010000000474974513,0.8656262159347534,0.5950530767440796,35
0.7944680452346802,0.39774462580680847,0.0010000000474974513,0.8606775999069214,0.5917487740516663,36
0.7966710329055786,0.423380583524704,0.0010000000474974513,0.8580129146575928,0.5768665671348572,37
0.8033615946769714,0.36358869075775146,0.0010000000474974513,0.8720974326133728,0.5687856078147888,38
0.7965894341468811,0.3751112222671509,0.0010000000474974513,0.8736200928688049,0.5805167555809021,39
0.8024641275405884,0.4247598350048065,0.0010000000474974513,0.8545869588851929,0.5717344284057617,40
0.7972421646118164,0.367548406124115,0.0010000000474974513,0.874381422996521,0.5827968716621399,41
0.8033615946769714,0.3891359567642212,0.0010000000474974513,0.8622002005577087,0.5701629519462585,42
0.8036879897117615,0.4329090118408203,0.0010000000474974513,0.8523030281066895,0.5675094127655029,43
0.7969973683357239,0.40755704045295715,0.0010000000474974513,0.8583936095237732,0.5669142007827759,44
0.7998531460762024,0.35113394260406494,0.0010000000474974513,0.8770460486412048,0.5671489238739014,45
0.8060541749000549,0.37834763526916504,0.0010000000474974513,0.8682908415794373,0.55674809217453,46
