learning_rate,accuracy,val_loss,loss,val_accuracy,epoch
0.0010000000474974513,0.594774067401886,0.9206643104553223,1.2110540866851807,0.6877944469451904,1
0.0010000000474974513,0.6504604816436768,0.9210664629936218,0.9960689544677734,0.6792291402816772,2
0.0010000000474974513,0.6674876809120178,0.8009069561958313,0.9397063255310059,0.7220556735992432,3
0.0010000000474974513,0.680980920791626,0.8077945709228516,0.9042267203330994,0.7156316637992859,4
0.0010000000474974513,0.6919040679931641,0.7570316195487976,0.883487343788147,0.7263383269309998,5
0.0010000000474974513,0.6984364986419678,0.713801383972168,0.8638404607772827,0.7421841621398926,6
0.0010000000474974513,0.7010066509246826,0.6818658709526062,0.8465484380722046,0.7597430348396301,7
0.0010000000474974513,0.7043263912200928,0.673138439655304,0.8387216329574585,0.7610278129577637,8
0.0010000000474974513,0.7180338501930237,0.6662582755088806,0.8052796721458435,0.7627409100532532,9
0.0010000000474974513,0.7202827334403992,0.6800645589828491,0.8071388602256775,0.7601712942123413,10
0.0010000000474974513,0.7237095832824707,0.7349135279655457,0.776170015335083,0.7396145462989807,11
0.0010000000474974513,0.7283143997192383,0.645774245262146,0.7822455167770386,0.7708779573440552,12
0.0010000000474974513,0.7357035875320435,0.6327937841415405,0.7573468685150146,0.7747323513031006,13
0.0010000000474974513,0.7370957136154175,0.6228796243667603,0.7580543160438538,0.7781584858894348,14
0.0010000000474974513,0.738916277885437,0.5967720746994019,0.7422003746032715,0.778586745262146,15
0.0010000000474974513,0.7353823184967041,0.6339671611785889,0.7509836554527283,0.7708779573440552,16
0.0010000000474974513,0.7390233278274536,0.6348851919174194,0.7510191202163696,0.770449697971344,17
0.0010000000474974513,0.7396658658981323,0.5899022221565247,0.7390825152397156,0.7880085706710815,18
0.0010000000474974513,0.743842363357544,0.6082314848899841,0.7308926582336426,0.7824411392211914,19
0.0010000000474974513,0.7442707419395447,0.6078081130981445,0.727606475353241,0.7811563014984131,20
0.0010000000474974513,0.7455558180809021,0.5971546769142151,0.7256788611412048,0.7914347052574158,21
0.0010000000474974513,0.7488755583763123,0.5907953381538391,0.7148672938346863,0.7875803112983704,22
0.0010000000474974513,0.7535874843597412,0.5887308716773987,0.7118716239929199,0.7892933487892151,23
0.0010000000474974513,0.7484471797943115,0.584223747253418,0.7160810828208923,0.7905781865119934,24
0.0010000000474974513,0.7452345490455627,0.5958150029182434,0.717632532119751,0.786295473575592,25
0.0010000000474974513,0.7470550537109375,0.5746978521347046,0.7169235944747925,0.8004282712936401,26
0.0010000000474974513,0.7482330203056335,0.5958269238471985,0.7145885229110718,0.7922912240028381,27
0.0010000000474974513,0.7531591057777405,0.5665934681892395,0.7018948197364807,0.800000011920929,28
0.0010000000474974513,0.7472692131996155,0.5990138649940491,0.7005484700202942,0.7845824360847473,29
0.0010000000474974513,0.755193829536438,0.6092051267623901,0.6987900733947754,0.7790150046348572,30
0.0010000000474974513,0.7570143342018127,0.6406555771827698,0.6907575130462646,0.7777301669120789,31
0.0010000000474974513,0.7577639818191528,0.58931964635849,0.6830062866210938,0.7841541767120361,32
0.0010000000474974513,0.7625830173492432,0.5986950993537903,0.677972137928009,0.7850106954574585,33
0.0010000000474974513,0.7568001747131348,0.5522451996803284,0.685685396194458,0.8042826652526855,34
9.999999747378752e-06,0.772435188293457,0.5155193209648132,0.6394525766372681,0.8171306252479553,35
9.999999747378752e-06,0.7874277234077454,0.5085931420326233,0.6106308698654175,0.8192719221115112,36
9.999999747378752e-06,0.7913900017738342,0.4957669973373413,0.5885782241821289,0.8222697973251343,37
9.999999747378752e-06,0.7943885326385498,0.48687782883644104,0.5835620760917664,0.8252676725387573,38
9.999999747378752e-06,0.8025273084640503,0.47981709241867065,0.5563977956771851,0.8248394131660461,39
9.999999747378752e-06,0.8044549226760864,0.47589296102523804,0.5545387864112854,0.8299785852432251,40
9.999999747378752e-06,0.8070250749588013,0.4656009376049042,0.5512616634368896,0.835117757320404,41
9.999999747378752e-06,0.8136646151542664,0.4595954120159149,0.5315650701522827,0.8359742760658264,42
9.999999747378752e-06,0.8143071532249451,0.4588989019393921,0.5314702987670898,0.8372591137886047,43
9.999999747378752e-06,0.813771665096283,0.4537169933319092,0.5299668908119202,0.8394004106521606,44
9.999999747378752e-06,0.8154851198196411,0.4505936801433563,0.5232566595077515,0.8394004106521606,45
9.999999747378752e-06,0.8152709603309631,0.4425351917743683,0.5302395820617676,0.8415417671203613,46
9.999999747378752e-06,0.8199828863143921,0.44596990942955017,0.511384904384613,0.8389721512794495,47
9.999999747378752e-06,0.8229813575744629,0.44509419798851013,0.5042902231216431,0.8419700264930725,48
9.999999747378752e-06,0.8211608529090881,0.4383507966995239,0.5184905529022217,0.8428265452384949,49
9.999999747378752e-06,0.823731005191803,0.43933120369911194,0.5005579590797424,0.8423982858657837,50
9.999999747378752e-06,0.8268365859985352,0.43367549777030945,0.49872323870658875,0.8445396423339844,51
