val_loss,val_accuracy,accuracy,learning_rate,loss,epoch
0.8370495438575745,0.6942183971405029,0.6194045543670654,0.0010000000474974513,1.1356110572814941,1
0.7672340273857117,0.7319057583808899,0.6768044829368591,0.0010000000474974513,0.9250328540802002,2
0.7095319032669067,0.7486081123352051,0.7017562389373779,0.0010000000474974513,0.8528697490692139,3
0.7498190402984619,0.7498929500579834,0.7119297385215759,0.0010000000474974513,0.8324342966079712,4
0.700311005115509,0.775588870048523,0.7257442474365234,0.0010000000474974513,0.7852804660797119,5
0.6229887008666992,0.7901498675346375,0.7314199805259705,0.0010000000474974513,0.7632912993431091,6
0.5875207781791687,0.7931477427482605,0.7306703925132751,0.0010000000474974513,0.7631590962409973,7
0.5618698596954346,0.8004282712936401,0.7410580515861511,0.0010000000474974513,0.7418302297592163,8
0.5891324281692505,0.7965738773345947,0.7430927157402039,0.0010000000474974513,0.731139600276947,9
0.5901455879211426,0.7957173585891724,0.7528378963470459,0.0010000000474974513,0.699420690536499,10
0.5931636691093445,0.7888650894165039,0.75497967004776,0.0010000000474974513,0.7006509900093079,11
0.5702118873596191,0.8055674433708191,0.7558363676071167,0.0010000000474974513,0.6918376684188843,12
0.5168067216873169,0.8145610094070435,0.7559434771537781,0.0010000000474974513,0.6978380680084229,13
0.5423692464828491,0.816274106502533,0.7570143342018127,0.0010000000474974513,0.6911064982414246,14
0.5456749200820923,0.808137059211731,0.7650460600852966,0.0010000000474974513,0.6759623885154724,15
0.5678398609161377,0.8089935779571533,0.7570143342018127,0.0010000000474974513,0.6771568059921265,16
0.6076779365539551,0.7884368300437927,0.7702934145927429,0.0010000000474974513,0.6587520241737366,17
0.5381925702095032,0.8149892687797546,0.7672949433326721,0.0010000000474974513,0.6653091311454773,18
0.542702853679657,0.8128479719161987,0.7619404792785645,0.0010000000474974513,0.6671525835990906,19
0.5107503533363342,0.8239828944206238,0.7677232623100281,0.0010000000474974513,0.6557455062866211,20
0.524865984916687,0.8256959319114685,0.7706146836280823,0.0010000000474974513,0.6541831493377686,21
0.5108129978179932,0.8321199417114258,0.7744699120521545,0.0010000000474974513,0.6417044401168823,22
0.5026602149009705,0.8334047198295593,0.777147114276886,0.0010000000474974513,0.6345694661140442,23
0.5436262488365173,0.8192719221115112,0.7778967618942261,0.0010000000474974513,0.6361882090568542,24
0.520393431186676,0.8256959319114685,0.7817519903182983,0.0010000000474974513,0.6286306381225586,25
0.4982050657272339,0.8184154033660889,0.7753266096115112,0.0010000000474974513,0.6326917409896851,26
0.48813310265541077,0.832548201084137,0.7818590998649597,0.0010000000474974513,0.6195301413536072,27
0.5179798007011414,0.8274089694023132,0.7808952927589417,0.0010000000474974513,0.6199343204498291,28
0.5016263127326965,0.8256959319114685,0.7832512259483337,0.0010000000474974513,0.6167664527893066,29
0.48866501450538635,0.8291220664978027,0.787320613861084,0.0010000000474974513,0.6154969334602356,30
0.511134684085846,0.8299785852432251,0.7887127995491028,0.0010000000474974513,0.5941507816314697,31
0.49477335810661316,0.8372591137886047,0.7858213782310486,0.0010000000474974513,0.6113646030426025,32
0.4995085895061493,0.8312633633613586,0.7800385355949402,0.0010000000474974513,0.6077629923820496,33
0.42425429821014404,0.8522483706474304,0.8093810081481934,9.999999747378752e-06,0.5471259951591492,34
0.4004687964916229,0.8599571585655212,0.829620897769928,9.999999747378752e-06,0.4972222149372101,35
0.39806243777275085,0.8599571585655212,0.8317626714706421,9.999999747378752e-06,0.48655563592910767,36
0.3909221291542053,0.8672376871109009,0.8390447497367859,9.999999747378752e-06,0.46702778339385986,37
0.37874504923820496,0.8672376871109009,0.845470130443573,9.999999747378752e-06,0.44697070121765137,38
0.375302791595459,0.8693790435791016,0.8457913994789124,9.999999747378752e-06,0.4311255216598511,39
0.3680201768875122,0.8710920810699463,0.8508245944976807,9.999999747378752e-06,0.4300587475299835,40
0.3503499925136566,0.8792291283607483,0.8527522087097168,9.999999747378752e-06,0.4253188669681549,41
0.3525853157043457,0.880942165851593,0.8522167205810547,9.999999747378752e-06,0.42212727665901184,42
0.3495807647705078,0.8779443502426147,0.8588562607765198,9.999999747378752e-06,0.4103144407272339,43
0.346933513879776,0.8822270035743713,0.8611051440238953,9.999999747378752e-06,0.3946920931339264,44
0.32922884821891785,0.8869379162788391,0.8626044392585754,9.999999747378752e-06,0.3985211253166199,45
0.35557520389556885,0.8788008689880371,0.8647462129592896,9.999999747378752e-06,0.39421361684799194,46
0.33772170543670654,0.8830835223197937,0.8646391034126282,9.999999747378752e-06,0.3824188709259033,47
0.3481837213039398,0.8775160312652588,0.8704219460487366,9.999999747378752e-06,0.3744067847728729,48
0.3412134349346161,0.880942165851593,0.873099148273468,9.999999747378752e-06,0.3640788197517395,49
0.32486069202423096,0.8869379162788391,0.8770614862442017,4.999999873689376e-06,0.36402571201324463,50
