epoch,accuracy,loss,val_accuracy,val_loss
0,0.8002570271492004,0.5660285353660583,0.8659529089927673,0.3876129388809204
1,0.8237121105194092,0.5098497271537781,0.8693790435791016,0.38088715076446533
2,0.8290671706199646,0.4902907609939575,0.8723768591880798,0.3607270419597626
3,0.8338866829872131,0.47271010279655457,0.8822270035743713,0.33735141158103943
4,0.8403127193450928,0.4587979316711426,0.8830835223197937,0.3372398018836975
5,0.8437399864196777,0.4439469575881958,0.8847965598106384,0.33134567737579346
6,0.8486666083335876,0.43146952986717224,0.8907923102378845,0.315992146730423
7,0.8514512181282043,0.4301549792289734,0.8886509537696838,0.3266625702381134
8,0.8519867062568665,0.4290781319141388,0.8903640508651733,0.3129390478134155
9,0.856592059135437,0.41428741812705994,0.8959314823150635,0.3011989891529083
10,0.8626968264579773,0.40154656767845154,0.8946467041969299,0.3059375286102295
11,0.8623754978179932,0.40215685963630676,0.8955032229423523,0.29659637808799744
12,0.8595908880233765,0.39336061477661133,0.8955032229423523,0.30864864587783813
13,0.8633394241333008,0.39796367287635803,0.8925053477287292,0.29657241702079773
14,0.8641961812973022,0.39411357045173645,0.8933618664741516,0.28869739174842834
15,0.86858731508255,0.37472692131996155,0.8976445198059082,0.2872185707092285
16,0.8675163388252258,0.3853220045566559,0.8997858762741089,0.2759425938129425
