epoch,accuracy,loss,val_accuracy,val_loss
0,0.772435188293457,0.6394525766372681,0.8171306252479553,0.5155193209648132
1,0.7874277234077454,0.6106308698654175,0.8192719221115112,0.5085931420326233
2,0.7913900017738342,0.5885782241821289,0.8222697973251343,0.4957669973373413
3,0.7943885326385498,0.5835620760917664,0.8252676725387573,0.48687782883644104
4,0.8025273084640503,0.5563977956771851,0.8248394131660461,0.47981709241867065
5,0.8044549226760864,0.5545387864112854,0.8299785852432251,0.47589296102523804
6,0.8070250749588013,0.5512616634368896,0.835117757320404,0.4656009376049042
7,0.8136646151542664,0.5315650701522827,0.8359742760658264,0.4595954120159149
8,0.8143071532249451,0.5314702987670898,0.8372591137886047,0.4588989019393921
9,0.813771665096283,0.5299668908119202,0.8394004106521606,0.4537169933319092
10,0.8154851198196411,0.5232566595077515,0.8394004106521606,0.4505936801433563
11,0.8152709603309631,0.5302395820617676,0.8415417671203613,0.4425351917743683
12,0.8199828863143921,0.511384904384613,0.8389721512794495,0.44596990942955017
13,0.8229813575744629,0.5042902231216431,0.8419700264930725,0.44509419798851013
14,0.8211608529090881,0.5184905529022217,0.8428265452384949,0.4383507966995239
15,0.823731005191803,0.5005579590797424,0.8423982858657837,0.43933120369911194
16,0.8268365859985352,0.49872323870658875,0.8445396423339844,0.43367549777030945
