val_accuracy,accuracy,loss,val_loss,learning_rate,epoch
0.6162741184234619,0.5774255990982056,1.2591568231582642,1.052425742149353,0.0010000000474974513,1
0.6441113352775574,0.6191903948783875,1.0873017311096191,0.9757099151611328,0.0010000000474974513,2
0.6518201231956482,0.6412507891654968,1.0152573585510254,0.9321684241294861,0.0010000000474974513,3
0.6959314942359924,0.6520668268203735,0.9826300740242004,0.8456634879112244,0.0010000000474974513,4
0.7177730202674866,0.6608481407165527,0.9578285813331604,0.8177615404129028,0.0010000000474974513,5
0.6895074844360352,0.6581709384918213,0.9636430740356445,0.8671531677246094,0.0010000000474974513,6
0.7139186263084412,0.6804454922676086,0.9298044443130493,0.8191665410995483,0.0010000000474974513,7
0.7383297681808472,0.6799100637435913,0.9234650135040283,0.7611080408096313,0.0010000000474974513,8
0.7507494688034058,0.6778753399848938,0.9170812964439392,0.7288134694099426,0.0010000000474974513,9
0.7396145462989807,0.6906189918518066,0.8824928998947144,0.744371771812439,0.0010000000474974513,10
0.7190577983856201,0.6892268061637878,0.8838198184967041,0.7946732640266418,0.0010000000474974513,11
0.7404710650444031,0.6924394965171814,0.8797824382781982,0.7426705360412598,0.0010000000474974513,12
0.7143468856811523,0.6932961940765381,0.8777378797531128,0.8192536234855652,0.0010000000474974513,13
0.7186295390129089,0.6930820345878601,0.8735876083374023,0.790772557258606,0.0010000000474974513,14
0.7366167306900024,0.6979010701179504,0.8518617153167725,0.7486549019813538,0.0010000000474974513,15
0.7434689402580261,0.6975798010826111,0.853879988193512,0.7196694612503052,0.0010000000474974513,16
0.749036431312561,0.6950096487998962,0.8540064096450806,0.7312273979187012,0.0010000000474974513,17
0.759314775466919,0.7007924318313599,0.8479207754135132,0.7235142588615417,0.0010000000474974513,18
0.740899384021759,0.7030413150787354,0.8408916592597961,0.7636205554008484,0.0010000000474974513,19
0.7456102967262268,0.7110730409622192,0.8296964764595032,0.7310546636581421,0.0010000000474974513,20
0.7374732494354248,0.7049689292907715,0.8346807360649109,0.8039555549621582,0.0010000000474974513,21
0.7276231050491333,0.7082887291908264,0.8235146403312683,0.7886161804199219,0.0010000000474974513,22
0.7627409100532532,0.7087170481681824,0.8231573700904846,0.723832368850708,0.0010000000474974513,23
0.7610278129577637,0.7155708074569702,0.8252907395362854,0.7323231101036072,0.0010000000474974513,24
0.740899384021759,0.7092525362968445,0.829096794128418,0.7441890835762024,0.0010000000474974513,25
0.7421841621398926,0.7113943099975586,0.8148666024208069,0.7789071798324585,0.0010000000474974513,26
0.7657387852668762,0.708395779132843,0.8156822323799133,0.7114319801330566,0.0010000000474974513,27
0.7721627354621887,0.7169629335403442,0.8076604008674622,0.6795483231544495,0.0010000000474974513,28
0.75417560338974,0.7132148146629333,0.8076096177101135,0.7257862091064453,0.0010000000474974513,29
0.7473233342170715,0.7118226885795593,0.803996741771698,0.7209084630012512,0.0010000000474974513,30
0.7644539475440979,0.7231741547584534,0.799635648727417,0.7013014554977417,0.0010000000474974513,31
0.7554603815078735,0.7184621691703796,0.8039038181304932,0.7263618111610413,0.0010000000474974513,32
0.7683083415031433,0.7162133455276489,0.8013046979904175,0.672161340713501,0.0010000000474974513,33
0.7717344760894775,0.7204968929290771,0.7918071150779724,0.6721158623695374,9.999999747378752e-06,34
0.79486083984375,0.7322767376899719,0.762965202331543,0.5879991054534912,9.999999747378752e-06,35
0.79486083984375,0.7357035875320435,0.7454659342765808,0.5972393155097961,9.999999747378752e-06,36
0.8059957027435303,0.7487684488296509,0.7221575975418091,0.5663741230964661,9.999999747378752e-06,37
0.7995717525482178,0.7591561079025269,0.6904497146606445,0.6074801683425903,9.999999747378752e-06,38
0.8017130494117737,0.7591561079025269,0.6811085939407349,0.5992116928100586,9.999999747378752e-06,39
0.7982869148254395,0.7592632174491882,0.6786056160926819,0.6116185188293457,9.999999747378752e-06,40
0.8192719221115112,0.7622617483139038,0.6703173518180847,0.5453699827194214,9.999999747378752e-06,41
0.8239828944206238,0.7733989953994751,0.6484688520431519,0.5509791374206543,9.999999747378752e-06,42
0.8205567598342896,0.7733989953994751,0.6425274014472961,0.5334861278533936,9.999999747378752e-06,43
0.8295503258705139,0.7762904167175293,0.636756181716919,0.5054516792297363,9.999999747378752e-06,44
0.8261241912841797,0.7829299569129944,0.6198443174362183,0.541551947593689,9.999999747378752e-06,45
0.8308351039886475,0.7805740237236023,0.6170714497566223,0.5304129123687744,9.999999747378752e-06,46
0.824411153793335,0.7841079235076904,0.6098365187644958,0.5523257851600647,9.999999747378752e-06,47
0.8364025950431824,0.7897836565971375,0.605921745300293,0.5067906379699707,9.999999747378752e-06,48
0.843254804611206,0.7954593896865845,0.5812521576881409,0.47669529914855957,4.999999873689376e-06,49
0.8411135077476501,0.8008138537406921,0.5712414383888245,0.4891982078552246,4.999999873689376e-06,50
