epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.661712110042572,0.0010000000474974513,0.877936840057373,0.7298721075057983,0.630108654499054
1,0.7268109321594238,0.0010000000474974513,0.6925927996635437,0.8043642044067383,0.5056884288787842
2,0.7518344521522522,0.0010000000474974513,0.6575794219970703,0.8036117553710938,0.48747554421424866
3,0.7574788331985474,0.0010000000474974513,0.6237697601318359,0.7908201813697815,0.5160892009735107
4,0.7708372473716736,0.0010000000474974513,0.5996185541152954,0.7705041170120239,0.5918617844581604
5,0.7730950117111206,0.0010000000474974513,0.5927215218544006,0.8088788390159607,0.5226300954818726
6,0.7727187275886536,0.0010000000474974513,0.591718852519989,0.7870579361915588,0.5101614594459534
7,0.7715898156166077,0.0010000000474974513,0.5755357146263123,0.7780286073684692,0.5214085578918457
8,0.7811853289604187,0.0010000000474974513,0.5770538449287415,0.6884875893592834,0.719386100769043
9,0.7841956615447998,0.0010000000474974513,0.5797826647758484,0.7990970611572266,0.5065686106681824
10,0.7888993620872498,0.0010000000474974513,0.5559929609298706,0.8141459822654724,0.47059905529022217
11,0.7879586219787598,0.0010000000474974513,0.557331919670105,0.7780286073684692,0.5732793211936951
12,0.7826905250549316,0.0010000000474974513,0.5612152814865112,0.8051166534423828,0.49810996651649475
