loss,val_accuracy,accuracy,learning_rate,val_loss,epoch
1.14601731300354,0.746038556098938,0.6124022603034973,0.0010000000474974513,0.7691161632537842,1
0.9265943169593811,0.7828693985939026,0.6760201454162598,0.0010000000474974513,0.6475006341934204,2
0.862684428691864,0.786295473575592,0.6978687047958374,0.0010000000474974513,0.6614775657653809,3
0.8362109065055847,0.802569568157196,0.701403021812439,0.0010000000474974513,0.5825240015983582,4
0.7930763959884644,0.8171306252479553,0.7232515811920166,0.0010000000474974513,0.537969708442688,5
0.7882017493247986,0.8111348748207092,0.7241083979606628,0.0010000000474974513,0.5554105639457703,6
0.7642189860343933,0.8068522214889526,0.7302131056785583,0.0010000000474974513,0.5654512047767639,7
0.7523524761199951,0.8149892687797546,0.7408161163330078,0.0010000000474974513,0.5400791168212891,8
0.7478312849998474,0.8111348748207092,0.7359965443611145,0.0010000000474974513,0.5598049163818359,9
0.7315104007720947,0.8205567598342896,0.7467066645622253,0.0010000000474974513,0.5109996199607849,10
0.7012548446655273,0.8441113233566284,0.7555960416793823,0.0010000000474974513,0.47083356976509094,11
0.7067514061927795,0.8226980566978455,0.7569883465766907,0.0010000000474974513,0.517166018486023,12
0.6988305449485779,0.8077087998390198,0.754417896270752,0.0010000000474974513,0.5647866725921631,13
0.690424919128418,0.8338329792022705,0.7532398104667664,0.0010000000474974513,0.5177329778671265,14
0.6903438568115234,0.8316916227340698,0.7622362375259399,0.0010000000474974513,0.5016019344329834,15
0.6735586524009705,0.8286938071250916,0.7591303586959839,0.0010000000474974513,0.5258485078811646,16
0.6691509485244751,0.8364025950431824,0.7635214924812317,0.0010000000474974513,0.5086761713027954,17
0.6593492031097412,0.8252676725387573,0.766198992729187,0.0010000000474974513,0.509068489074707,18
0.6595836281776428,0.8368308544158936,0.767484188079834,0.0010000000474974513,0.47890520095825195,19
0.6492263078689575,0.8252676725387573,0.7683410048484802,0.0010000000474974513,0.5219753384590149,20
0.6420952081680298,0.8312633633613586,0.7749812602996826,0.0010000000474974513,0.4980299770832062,21
0.6467029452323914,0.840685248374939,0.7700546383857727,0.0010000000474974513,0.4699651598930359,22
0.6480051279067993,0.8419700264930725,0.7742315530776978,0.0010000000474974513,0.4724888503551483,23
0.6545009613037109,0.8316916227340698,0.7689836025238037,0.0010000000474974513,0.4856009781360626,24
0.6351540088653564,0.8415417671203613,0.7804433703422546,0.0010000000474974513,0.47778990864753723,25
0.6267882585525513,0.8466809391975403,0.7747670412063599,0.0010000000474974513,0.4547310471534729,26
0.630713701248169,0.8475374579429626,0.7748741507530212,0.0010000000474974513,0.45462507009506226,27
0.6301340460777283,0.8441113233566284,0.7815144062042236,0.0010000000474974513,0.479349821805954,28
0.6368317008018494,0.8471091985702515,0.7765877842903137,0.0010000000474974513,0.4586237072944641,29
0.6174458265304565,0.8492505550384521,0.7831209301948547,0.0010000000474974513,0.4677931070327759,30
0.6250761151313782,0.8436830639839172,0.785262942314148,0.0010000000474974513,0.4562811553478241,31
0.612564742565155,0.8548179864883423,0.780336320400238,0.0010000000474974513,0.4470692276954651,32
0.6130418181419373,0.8509635925292969,0.7866552472114563,0.0010000000474974513,0.46848657727241516,33
0.5660285353660583,0.8659529089927673,0.8002570271492004,9.999999747378752e-06,0.3876129388809204,34
0.5098497271537781,0.8693790435791016,0.8237121105194092,9.999999747378752e-06,0.38088715076446533,35
0.4902907609939575,0.8723768591880798,0.8290671706199646,9.999999747378752e-06,0.3607270419597626,36
0.47271010279655457,0.8822270035743713,0.8338866829872131,9.999999747378752e-06,0.33735141158103943,37
0.4587979316711426,0.8830835223197937,0.8403127193450928,9.999999747378752e-06,0.3372398018836975,38
0.4439469575881958,0.8847965598106384,0.8437399864196777,9.999999747378752e-06,0.33134567737579346,39
0.43146952986717224,0.8907923102378845,0.8486666083335876,9.999999747378752e-06,0.315992146730423,40
0.4301549792289734,0.8886509537696838,0.8514512181282043,9.999999747378752e-06,0.3266625702381134,41
0.4290781319141388,0.8903640508651733,0.8519867062568665,9.999999747378752e-06,0.3129390478134155,42
0.41428741812705994,0.8959314823150635,0.856592059135437,9.999999747378752e-06,0.3011989891529083,43
0.40154656767845154,0.8946467041969299,0.8626968264579773,9.999999747378752e-06,0.3059375286102295,44
0.40215685963630676,0.8955032229423523,0.8623754978179932,9.999999747378752e-06,0.29659637808799744,45
0.39336061477661133,0.8955032229423523,0.8595908880233765,9.999999747378752e-06,0.30864864587783813,46
0.39796367287635803,0.8925053477287292,0.8633394241333008,9.999999747378752e-06,0.29657241702079773,47
0.39411357045173645,0.8933618664741516,0.8641961812973022,9.999999747378752e-06,0.28869739174842834,48
0.37472692131996155,0.8976445198059082,0.86858731508255,9.999999747378752e-06,0.2872185707092285,49
0.3853220045566559,0.8997858762741089,0.8675163388252258,9.999999747378752e-06,0.2759425938129425,50
