epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6124022603034973,0.0010000000474974513,1.14601731300354,0.746038556098938,0.7691161632537842
1,0.6760201454162598,0.0010000000474974513,0.9265943169593811,0.7828693985939026,0.6475006341934204
2,0.6978687047958374,0.0010000000474974513,0.862684428691864,0.786295473575592,0.6614775657653809
3,0.701403021812439,0.0010000000474974513,0.8362109065055847,0.802569568157196,0.5825240015983582
4,0.7232515811920166,0.0010000000474974513,0.7930763959884644,0.8171306252479553,0.537969708442688
5,0.7241083979606628,0.0010000000474974513,0.7882017493247986,0.8111348748207092,0.5554105639457703
6,0.7302131056785583,0.0010000000474974513,0.7642189860343933,0.8068522214889526,0.5654512047767639
7,0.7408161163330078,0.0010000000474974513,0.7523524761199951,0.8149892687797546,0.5400791168212891
8,0.7359965443611145,0.0010000000474974513,0.7478312849998474,0.8111348748207092,0.5598049163818359
9,0.7467066645622253,0.0010000000474974513,0.7315104007720947,0.8205567598342896,0.5109996199607849
10,0.7555960416793823,0.0010000000474974513,0.7012548446655273,0.8441113233566284,0.47083356976509094
11,0.7569883465766907,0.0010000000474974513,0.7067514061927795,0.8226980566978455,0.517166018486023
12,0.754417896270752,0.0010000000474974513,0.6988305449485779,0.8077087998390198,0.5647866725921631
13,0.7532398104667664,0.0010000000474974513,0.690424919128418,0.8338329792022705,0.5177329778671265
14,0.7622362375259399,0.0010000000474974513,0.6903438568115234,0.8316916227340698,0.5016019344329834
15,0.7591303586959839,0.0010000000474974513,0.6735586524009705,0.8286938071250916,0.5258485078811646
16,0.7635214924812317,0.0010000000474974513,0.6691509485244751,0.8364025950431824,0.5086761713027954
17,0.766198992729187,0.0010000000474974513,0.6593492031097412,0.8252676725387573,0.509068489074707
18,0.767484188079834,0.0010000000474974513,0.6595836281776428,0.8368308544158936,0.47890520095825195
19,0.7683410048484802,0.0010000000474974513,0.6492263078689575,0.8252676725387573,0.5219753384590149
20,0.7749812602996826,0.0010000000474974513,0.6420952081680298,0.8312633633613586,0.4980299770832062
21,0.7700546383857727,0.0010000000474974513,0.6467029452323914,0.840685248374939,0.4699651598930359
22,0.7742315530776978,0.0010000000474974513,0.6480051279067993,0.8419700264930725,0.4724888503551483
23,0.7689836025238037,0.0010000000474974513,0.6545009613037109,0.8316916227340698,0.4856009781360626
24,0.7804433703422546,0.0010000000474974513,0.6351540088653564,0.8415417671203613,0.47778990864753723
25,0.7747670412063599,0.0010000000474974513,0.6267882585525513,0.8466809391975403,0.4547310471534729
26,0.7748741507530212,0.0010000000474974513,0.630713701248169,0.8475374579429626,0.45462507009506226
27,0.7815144062042236,0.0010000000474974513,0.6301340460777283,0.8441113233566284,0.479349821805954
28,0.7765877842903137,0.0010000000474974513,0.6368317008018494,0.8471091985702515,0.4586237072944641
29,0.7831209301948547,0.0010000000474974513,0.6174458265304565,0.8492505550384521,0.4677931070327759
30,0.785262942314148,0.0010000000474974513,0.6250761151313782,0.8436830639839172,0.4562811553478241
31,0.780336320400238,0.0010000000474974513,0.612564742565155,0.8548179864883423,0.4470692276954651
32,0.7866552472114563,0.0010000000474974513,0.6130418181419373,0.8509635925292969,0.46848657727241516
