val_accuracy,learning_rate,loss,accuracy,val_loss,epoch
0.6699029207229614,0.0010000000474974513,1.1609115600585938,0.603912353515625,0.9691962003707886,1
0.727013111114502,0.0010000000474974513,0.9676019549369812,0.6620975136756897,0.7841682434082031,2
0.7315819263458252,0.0010000000474974513,0.9059192538261414,0.6839437484741211,0.7666283845901489,3
0.7595659494400024,0.0010000000474974513,0.8681179285049438,0.700292706489563,0.6759011149406433,4
0.762135922908783,0.0010000000474974513,0.8490852117538452,0.6996501684188843,0.6820198893547058,5
0.7829811573028564,0.0010000000474974513,0.8196259140968323,0.7134289741516113,0.6225647926330566,6
0.7841233611106873,0.0010000000474974513,0.8081654906272888,0.7177125811576843,0.6039767265319824,7
0.7689891457557678,0.0010000000474974513,0.7827311754226685,0.72770756483078,0.6598918437957764,8
0.7958309650421143,0.0010000000474974513,0.7871521711349487,0.7243521213531494,0.6061528325080872,9
0.7915477156639099,0.0010000000474974513,0.7722918391227722,0.7308488488197327,0.5873397588729858,10
0.797258734703064,0.0010000000474974513,0.7602500915527344,0.734418511390686,0.5775172710418701,11
0.7895488142967224,0.0010000000474974513,0.7565491199493408,0.7354893684387207,0.6188517212867737,12
0.8003997802734375,0.0010000000474974513,0.7406214475631714,0.7392732501029968,0.5693063139915466,13
0.8086807727813721,0.0010000000474974513,0.7517545819282532,0.7335618138313293,0.5480571985244751,14
0.804397463798523,0.0010000000474974513,0.7307636737823486,0.7412722110748291,0.5525429248809814,15
0.8061107993125916,0.0010000000474974513,0.7247023582458496,0.7452701926231384,0.5514858365058899,16
0.8055396676063538,0.0010000000474974513,0.7274758219718933,0.7448418736457825,0.5538914799690247,17
0.8055396676063538,0.0010000000474974513,0.7049843072891235,0.7541229128837585,0.5662100911140442,18
0.8121073842048645,0.0010000000474974513,0.7181262969970703,0.7459127306938171,0.5353078246116638,19
0.8132495880126953,0.0010000000474974513,0.6967410445213318,0.7557649612426758,0.543744683265686,20
0.8041119575500488,0.0010000000474974513,0.7027558088302612,0.7555508017539978,0.5471197962760925,21
0.8158195614814758,0.0010000000474974513,0.6930478811264038,0.7563360929489136,0.5309102535247803,22
0.8186750411987305,0.0010000000474974513,0.692726194858551,0.7532662153244019,0.5213513970375061,23
0.821245014667511,0.0010000000474974513,0.6968076229095459,0.7532662153244019,0.5132350325584412,24
0.8143917918205261,0.0010000000474974513,0.6919838786125183,0.7572641968727112,0.5537688136100769,25
0.8275271058082581,0.0010000000474974513,0.686369001865387,0.7600485682487488,0.4996350407600403,26
0.81610506772995,0.0010000000474974513,0.6804690361022949,0.7610480189323425,0.5275408029556274,27
0.8092518448829651,0.0010000000474974513,0.6748517751693726,0.7626900672912598,0.5564027428627014,28
0.8272415995597839,0.0010000000474974513,0.6779283881187439,0.762047529220581,0.5008507370948792,29
0.8243860602378845,0.0010000000474974513,0.6764543652534485,0.7666881084442139,0.5050632953643799,30
0.821816086769104,0.0010000000474974513,0.6749202609062195,0.7611194252967834,0.522264301776886,31
0.8295260071754456,0.0010000000474974513,0.6738571524620056,0.7649746537208557,0.4977666437625885,32
0.8066818714141846,0.0010000000474974513,0.661704421043396,0.7698293924331665,0.5205034017562866,33
0.8123928904533386,0.0010000000474974513,0.6626964211463928,0.7662597298622131,0.5479363203048706,34
0.8252426981925964,0.0010000000474974513,0.6624642014503479,0.7683300971984863,0.5014929175376892,35
0.8243860602378845,0.0010000000474974513,0.6653255224227905,0.7677589654922485,0.5323158502578735,36
0.8058252334594727,0.0010000000474974513,0.6579328775405884,0.7701149582862854,0.5509287714958191,37
0.8181039690971375,0.0010000000474974513,0.6573257446289062,0.76675945520401,0.5174781084060669,38
0.8143917918205261,0.0010000000474974513,0.6447293162345886,0.7728278636932373,0.5336865782737732,39
0.8229582905769348,0.0010000000474974513,0.6509802341461182,0.7751838564872742,0.5231108665466309,40
0.815248429775238,0.0010000000474974513,0.6446139216423035,0.7704719305038452,0.527733325958252,41
0.8298115134239197,0.0010000000474974513,0.6450061798095703,0.7744699120521545,0.4840727150440216,42
0.8238149881362915,0.0010000000474974513,0.6589047908782959,0.7675448060035706,0.5070455074310303,43
0.8123928904533386,0.0010000000474974513,0.6486409902572632,0.7753980159759521,0.5278844833374023,44
0.8332381248474121,0.0010000000474974513,0.6465896964073181,0.7725422978401184,0.46788784861564636,45
0.8280982375144958,0.0010000000474974513,0.6489182710647583,0.7687584757804871,0.4984942674636841,46
0.8300970792770386,0.0010000000474974513,0.6511910557746887,0.7718283534049988,0.5020636320114136,47
0.8320959210395813,0.0010000000474974513,0.6448365449905396,0.7718283534049988,0.4826250672340393,48
0.832952618598938,0.0010000000474974513,0.6444549560546875,0.7721139192581177,0.48526450991630554,49
0.8295260071754456,0.0010000000474974513,0.6433842182159424,0.7763261198997498,0.48977264761924744,50
0.8312392830848694,0.0010000000474974513,0.6433155536651611,0.7723994851112366,0.48891302943229675,51
0.8315248489379883,0.0010000000474974513,0.6406516432762146,0.7733989953994751,0.49238574504852295,52
0.8312392830848694,0.0010000000474974513,0.6339802742004395,0.7763975262641907,0.4936416745185852,53
0.8292404413223267,0.0010000000474974513,0.6303309202194214,0.7743270993232727,0.512237548828125,54
0.8332381248474121,0.0010000000474974513,0.6277663111686707,0.7814664244651794,0.4934365153312683,55
0.8275271058082581,0.0010000000474974513,0.6288626194000244,0.7825372815132141,0.4883829951286316,56
0.8355225324630737,0.0010000000474974513,0.6380531787872314,0.7784678936004639,0.47579455375671387,57
0.8266704678535461,0.0010000000474974513,0.6330706477165222,0.7808238863945007,0.5032532811164856,58
0.8383780717849731,0.0010000000474974513,0.6248660683631897,0.7838937640190125,0.4786559045314789,59
0.8383780717849731,0.0010000000474974513,0.627838134765625,0.7790390253067017,0.471937358379364,60
0.8366647362709045,0.0010000000474974513,0.630297839641571,0.7817519903182983,0.46551984548568726,61
0.8195316791534424,0.0010000000474974513,0.6309871077537537,0.7787534594535828,0.5124413371086121,62
0.8389491438865662,0.0010000000474974513,0.6276594400405884,0.7821089625358582,0.4713774025440216,63
0.8369503021240234,0.0010000000474974513,0.6254265904426575,0.7788248658180237,0.47315239906311035,64
0.8280982375144958,0.0010000000474974513,0.6178649067878723,0.7833940386772156,0.4917356073856354,65
0.833523690700531,0.0010000000474974513,0.6243820786476135,0.7833940386772156,0.4680617153644562,66
