learning_rate,loss,val_accuracy,val_loss,accuracy,epoch
0.0010000000474974513,1.0685023069381714,0.7515705227851868,0.7120743989944458,0.6367530226707458,1
0.0010000000474974513,0.8753342628479004,0.7749857306480408,0.6419951915740967,0.6977939605712891,2
0.0010000000474974513,0.8121672868728638,0.7824100255966187,0.615960955619812,0.7168558835983276,3
0.0010000000474974513,0.7722916007041931,0.8012564182281494,0.5624732971191406,0.7353466153144836,4
0.0010000000474974513,0.7561320662498474,0.8149628639221191,0.568237841129303,0.7389876246452332,5
0.0010000000474974513,0.7220873832702637,0.8215305805206299,0.5067819952964783,0.7474833726882935,6
0.0010000000474974513,0.7068120241165161,0.8229582905769348,0.4977872371673584,0.7522667050361633,7
0.0010000000474974513,0.6932874917984009,0.8435180187225342,0.45131218433380127,0.7566217184066772,8
0.0010000000474974513,0.6738262176513672,0.8292404413223267,0.47759872674942017,0.7676162123680115,9
0.0010000000474974513,0.6777938008308411,0.8389491438865662,0.4488445520401001,0.7650460600852966,10
0.0010000000474974513,0.6582527756690979,0.8318104147911072,0.48602938652038574,0.7703291177749634,11
0.0010000000474974513,0.6522699594497681,0.8198172450065613,0.49386662244796753,0.7725422978401184,12
0.0010000000474974513,0.6470109224319458,0.8418046832084656,0.46978557109832764,0.7704005241394043,13
0.0010000000474974513,0.6321992874145508,0.8443746566772461,0.44926542043685913,0.7787534594535828,14
0.0010000000474974513,0.642094612121582,0.839520275592804,0.4782440960407257,0.7746840715408325,15
0.0010000000474974513,0.62796950340271,0.8520845174789429,0.4194357991218567,0.7782537341117859,16
0.0010000000474974513,0.6213139891624451,0.8515134453773499,0.4147978127002716,0.782822847366333,17
0.0010000000474974513,0.6248446106910706,0.8449457287788391,0.44310086965560913,0.7829656600952148,18
0.0010000000474974513,0.6130474209785461,0.8540833592414856,0.407509982585907,0.7864639163017273,19
0.0010000000474974513,0.6144031286239624,0.851798951625824,0.4172726273536682,0.7864639163017273,20
0.0010000000474974513,0.6098603010177612,0.8669331669807434,0.3845749497413635,0.7885342836380005,21
0.0010000000474974513,0.6111726760864258,0.8603655099868774,0.38352033495903015,0.7908188700675964,22
0.0010000000474974513,0.6050854325294495,0.857509970664978,0.4020370841026306,0.7901049256324768,23
0.0010000000474974513,0.6034219861030579,0.856938898563385,0.39342936873435974,0.7978867888450623,24
0.0010000000474974513,0.5998377799987793,0.8566533327102661,0.3896597623825073,0.7931034564971924,25
0.0010000000474974513,0.5951257348060608,0.8543689250946045,0.40540674328804016,0.796458899974823,26
0.0010000000474974513,0.5756933689117432,0.8695031404495239,0.3694690763950348,0.798529326915741,27
0.0010000000474974513,0.5890119671821594,0.8703597784042358,0.37297502160072327,0.7938887476921082,28
0.0010000000474974513,0.5859262347221375,0.8757852911949158,0.3554138243198395,0.7937459945678711,29
0.0010000000474974513,0.5987018942832947,0.8675042986869812,0.38312986493110657,0.794245719909668,30
0.0010000000474974513,0.5802177786827087,0.8652198910713196,0.3809736967086792,0.8013136386871338,31
0.0010000000474974513,0.5739209055900574,0.8663620948791504,0.3639201521873474,0.7967444658279419,32
0.0010000000474974513,0.5781275033950806,0.857509970664978,0.40000468492507935,0.7998857498168945,33
0.0010000000474974513,0.5844247341156006,0.8612221479415894,0.38891318440437317,0.7966017127037048,34
0.0010000000474974513,0.578454315662384,0.8812107443809509,0.3410324156284332,0.7965303063392639,35
0.0010000000474974513,0.5737025737762451,0.8623643517494202,0.3716431260108948,0.7996001839637756,36
0.0010000000474974513,0.5716264247894287,0.8729297518730164,0.354410856962204,0.8013136386871338,37
0.0010000000474974513,0.5599191784858704,0.8689320683479309,0.36347755789756775,0.8086671233177185,38
0.0010000000474974513,0.570638120174408,0.8577955365180969,0.3989461362361908,0.800956666469574,39
0.0010000000474974513,0.5694993734359741,0.8626499176025391,0.38844308257102966,0.8018847703933716,40
0.0010000000474974513,0.5612863898277283,0.8743575215339661,0.3497437834739685,0.8075248003005981,41
