val_accuracy,accuracy,learning_rate,loss,val_loss,epoch
0.7405292391777039,0.6195333003997803,0.0010000000474974513,1.1122809648513794,0.7601774334907532,1
0.7532838582992554,0.6849706172943115,0.0010000000474974513,0.9048319458961487,0.6888954043388367,2
0.7593755722045898,0.7013707756996155,0.0010000000474974513,0.8575811386108398,0.6841537356376648,3
0.7391966581344604,0.721197783946991,0.0010000000474974513,0.8046953678131104,0.7136461734771729,4
0.7989720106124878,0.7314784526824951,0.0010000000474974513,0.7800874710083008,0.5914415121078491,5
0.7909765839576721,0.736374020576477,0.0010000000474974513,0.7632050514221191,0.5984395742416382,6
0.7812678217887878,0.7367819547653198,0.0010000000474974513,0.7448463439941406,0.6659924983978271,7
0.8075385689735413,0.7460019588470459,0.0010000000474974513,0.7298693656921387,0.554027259349823,8
0.8058252334594727,0.752284586429596,0.0010000000474974513,0.7131291031837463,0.5530235171318054,9
0.8096325993537903,0.759056806564331,0.0010000000474974513,0.7059808969497681,0.5573991537094116,10
0.8206738829612732,0.7608518004417419,0.0010000000474974513,0.6985703110694885,0.5251500010490417,11
0.8267656564712524,0.7619125247001648,0.0010000000474974513,0.685729444026947,0.49466651678085327,12
0.8317152261734009,0.7668896913528442,0.0010000000474974513,0.6718839406967163,0.487923800945282,13
0.8397106528282166,0.7638707756996155,0.0010000000474974513,0.6734008193016052,0.45840057730674744,14
0.8244812488555908,0.761014997959137,0.0010000000474974513,0.6787497997283936,0.5249977111816406,15
0.8408528566360474,0.7699902057647705,0.0010000000474974513,0.6648048758506775,0.4689329266548157,16
0.8225775957107544,0.7708877325057983,0.0010000000474974513,0.6658623814582825,0.5325554013252258,17
0.8368551135063171,0.770235002040863,0.0010000000474974513,0.6572574973106384,0.4785623848438263,18
0.839520275592804,0.7717852592468262,0.0010000000474974513,0.6577144861221313,0.4695167541503906,19
0.8419950604438782,0.7730907201766968,0.0010000000474974513,0.648260772228241,0.44524672627449036,20
0.8351418375968933,0.7785574197769165,0.0010000000474974513,0.6398061513900757,0.47590208053588867,21
0.8612221479415894,0.7775783538818359,0.0010000000474974513,0.6371406316757202,0.409061998128891,22
0.8518941402435303,0.7857375741004944,0.0010000000474974513,0.6275094747543335,0.42230942845344543,23
0.8389491438865662,0.7894092798233032,0.0010000000474974513,0.618383526802063,0.4722231924533844,24
0.8301922678947449,0.7837793827056885,0.0010000000474974513,0.623858630657196,0.4940836429595947,25
0.8490386605262756,0.7801076769828796,0.0010000000474974513,0.6199514269828796,0.4436587393283844,26
0.8450409173965454,0.7819843292236328,0.0010000000474974513,0.62767493724823,0.46599069237709045,27
0.8442794680595398,0.7831266522407532,0.0010000000474974513,0.6235359907150269,0.4762384593486786,28
0.846754252910614,0.7813315987586975,0.0010000000474974513,0.620148241519928,0.4627126157283783,29
0.8509423136711121,0.7879406213760376,0.0010000000474974513,0.6154447793960571,0.41200393438339233,30
0.8427565097808838,0.7890012860298157,0.0010000000474974513,0.6121872663497925,0.45201370120048523,31
0.845231294631958,0.7949575781822205,0.0010000000474974513,0.5943577885627747,0.43809089064598083,32
0.8530363440513611,0.7831266522407532,0.0010000000474974513,0.6209216117858887,0.4219091534614563,33
0.8549400568008423,0.7900620102882385,0.0010000000474974513,0.6076165437698364,0.43333691358566284,34
0.8347610831260681,0.7876958250999451,0.0010000000474974513,0.612140953540802,0.4816579520702362,35
0.8520845174789429,0.7898988127708435,0.0010000000474974513,0.6048253178596497,0.42440560460090637,36
0.8579859137535095,0.7958551049232483,0.0010000000474974513,0.588228702545166,0.40717023611068726,37
0.8568437099456787,0.7916938662528992,0.0010000000474974513,0.6048498153686523,0.4234326183795929,38
0.8591281175613403,0.7920202612876892,0.0010000000474974513,0.6028398275375366,0.4095057249069214,39
0.8570340871810913,0.7972421646118164,0.0010000000474974513,0.5937604904174805,0.406327486038208,40
0.8579859137535095,0.7991188168525696,0.0010000000474974513,0.5885663032531738,0.4205343425273895,41
0.863506555557251,0.7974053621292114,0.0010000000474974513,0.5809505581855774,0.39135634899139404,42
0.8564629554748535,0.7911227345466614,0.0010000000474974513,0.5970218181610107,0.41289132833480835,43
0.8454216718673706,0.797650158405304,0.0010000000474974513,0.5812069773674011,0.4654074013233185,44
0.8537978529930115,0.7916938662528992,0.0010000000474974513,0.5965449213981628,0.41452130675315857,45
0.843137264251709,0.7996899485588074,0.0010000000474974513,0.5811610221862793,0.45574623346328735,46
0.867123544216156,0.7987924218177795,0.0010000000474974513,0.5794032216072083,0.38207125663757324,47
0.8648391366004944,0.795202374458313,0.0010000000474974513,0.5843192934989929,0.38424158096313477,48
0.8545593023300171,0.7971605658531189,0.0010000000474974513,0.5856463313102722,0.412802517414093,49
0.863506555557251,0.7960183024406433,0.0010000000474974513,0.5893658399581909,0.3949357271194458,50
0.8682657480239868,0.7981396913528442,0.0010000000474974513,0.5693057775497437,0.39882898330688477,51
0.870740532875061,0.7978948950767517,0.0010000000474974513,0.5765488147735596,0.36842915415763855,52
0.8642680644989014,0.7994451522827148,0.0010000000474974513,0.574908971786499,0.37548136711120605,53
0.8568437099456787,0.7992004156112671,0.0010000000474974513,0.5781662464141846,0.401806116104126,54
0.872263491153717,0.8055646419525146,0.0010000000474974513,0.5700748562812805,0.37661632895469666,55
0.8596992492675781,0.7962630391120911,0.0010000000474974513,0.5793948769569397,0.42086660861968994,56
0.8673139214515686,0.7940600514411926,0.0010000000474974513,0.5840165019035339,0.3814847469329834,57
0.8690271973609924,0.8033615946769714,0.0010000000474974513,0.5651945471763611,0.38081321120262146,58
0.8739767670631409,0.8048303127288818,0.0010000000474974513,0.5641317367553711,0.3618086278438568,59
0.8684561252593994,0.7979764938354492,0.0010000000474974513,0.5810423493385315,0.37312155961990356,60
0.8663620948791504,0.8107049465179443,0.0010000000474974513,0.5456423759460449,0.3864465355873108,61
0.8760707974433899,0.7994451522827148,0.0010000000474974513,0.5693809390068054,0.3556048274040222,62
0.8724538087844849,0.8027904629707336,0.0010000000474974513,0.5657811164855957,0.3720400333404541,63
0.859889566898346,0.8040959239006042,0.0010000000474974513,0.5638701319694519,0.41720086336135864,64
0.8703597784042358,0.8082571625709534,0.0010000000474974513,0.5557634234428406,0.3786303699016571,65
0.8789263367652893,0.8010770082473755,0.0010000000474974513,0.5701128244400024,0.35150769352912903,66
0.8675042986869812,0.7992819547653198,0.0010000000474974513,0.5678596496582031,0.38160446286201477,67
0.8678849935531616,0.8019745349884033,0.0010000000474974513,0.564529299736023,0.3723134696483612,68
0.8604606986045837,0.8055646419525146,0.0010000000474974513,0.5540763735771179,0.4099234640598297,69
0.8661717176437378,0.8022193312644958,0.0010000000474974513,0.5705870985984802,0.38313519954681396,70
0.8616029024124146,0.8044223189353943,0.0010000000474974513,0.5563201904296875,0.4093686640262604,71
0.8676946759223938,0.8050750494003296,0.0010000000474974513,0.5603514909744263,0.37992045283317566,72
0.8762611746788025,0.8086651563644409,0.0010000000474974513,0.5497968196868896,0.36065560579299927,73
0.8690271973609924,0.8082571625709534,0.0010000000474974513,0.5395909547805786,0.38045552372932434,74
0.8711212873458862,0.8050750494003296,0.0010000000474974513,0.5534123182296753,0.36662253737449646,75
0.884827733039856,0.8085835576057434,0.0010000000474974513,0.5660490989685059,0.339905321598053,76
0.8735960125923157,0.810215413570404,0.0010000000474974513,0.5483611822128296,0.3659767806529999,77
0.8625547289848328,0.8093994855880737,0.0010000000474974513,0.5584185123443604,0.4051135182380676,78
0.8610317707061768,0.8083387613296509,0.0010000000474974513,0.5504802465438843,0.4105512499809265,79
0.869217574596405,0.8107049465179443,0.0010000000474974513,0.552363395690918,0.37125563621520996,80
0.8715019822120667,0.8076044321060181,0.0010000000474974513,0.5474030375480652,0.38045865297317505,81
0.8749285936355591,0.8087467551231384,0.0010000000474974513,0.5532612800598145,0.3629753589630127,82
0.8745478987693787,0.8027904629707336,0.0010000000474974513,0.5592459440231323,0.37884119153022766,83
0.866552472114563,0.810052216053009,0.0010000000474974513,0.5430360436439514,0.3997264802455902,84
0.8656005859375,0.8106233477592468,0.0010000000474974513,0.5468321442604065,0.3949766457080841,85
0.8716923594474792,0.8118472695350647,0.0010000000474974513,0.5489827990531921,0.3633439838886261,86
0.8764515519142151,0.8093178868293762,0.0010000000474974513,0.5423113107681274,0.3443479537963867,87
0.8695983290672302,0.8064621686935425,0.0010000000474974513,0.5438340306282043,0.38242459297180176,88
0.8741671442985535,0.8067069053649902,0.0010000000474974513,0.5662216544151306,0.36493104696273804,89
0.8682657480239868,0.8044223189353943,0.0010000000474974513,0.5505277514457703,0.3888797163963318,90
0.8734056949615479,0.8160901069641113,0.0010000000474974513,0.5387423038482666,0.35589703917503357,91
0.8697887063026428,0.8098074197769165,0.0010000000474974513,0.5486313104629517,0.37764137983322144,92
0.8821625709533691,0.8106233477592468,0.0005000000237487257,0.5352062582969666,0.3332342207431793,93
0.8831143975257874,0.8209856152534485,0.0005000000237487257,0.5239283442497253,0.329045832157135,94
0.886921763420105,0.8197617530822754,0.0005000000237487257,0.5182077884674072,0.32543060183525085,95
0.8852084279060364,0.8211488127708435,0.0005000000237487257,0.5183727145195007,0.3360389769077301,96
0.8785455822944641,0.8176403641700745,0.0005000000237487257,0.5173081755638123,0.35122349858283997,97
0.8794974088668823,0.8218831419944763,0.0005000000237487257,0.5134289264678955,0.352091521024704,98
0.8808299899101257,0.8257180452346802,0.0005000000237487257,0.5065240859985352,0.34468215703964233,99
