accuracy,loss,val_accuracy,val_loss,learning_rate
0.7508159279823303,0.7097471356391907,0.8008756637573242,0.5847036838531494,9.999999747378752e-06
0.7628100514411926,0.6747010946273804,0.8143917918205261,0.537879228591919,9.999999747378752e-06
0.7669712901115417,0.6549646258354187,0.8298115134239197,0.4915297329425812,9.999999747378752e-06
0.7690110802650452,0.6550592184066772,0.8157243728637695,0.529775857925415,9.999999747378752e-06
0.7806788682937622,0.6371827721595764,0.8279078602790833,0.5072498321533203,9.999999747378752e-06
0.7739882469177246,0.6343967318534851,0.8408528566360474,0.47595691680908203,9.999999747378752e-06
0.7867166996002197,0.6098541617393494,0.8328574299812317,0.49348944425582886,9.999999747378752e-06
0.783697783946991,0.6118669509887695,0.8389491438865662,0.47666531801223755,9.999999747378752e-06
0.7942232489585876,0.5982536673545837,0.8332381248474121,0.4878478944301605,9.999999747378752e-06
0.7906331419944763,0.5943240523338318,0.8315248489379883,0.49202850461006165,9.999999747378752e-06
0.8003426790237427,0.5654416680335999,0.8505615592002869,0.4413670599460602,4.999999873689376e-06
0.8044223189353943,0.5593483448028564,0.841614305973053,0.47055983543395996,4.999999873689376e-06
0.8052382469177246,0.5463859438896179,0.8461831212043762,0.4525357782840729,4.999999873689376e-06
0.8033615946769714,0.551476240158081,0.8343803286552429,0.47256481647491455,4.999999873689376e-06
0.807441234588623,0.5492160320281982,0.845231294631958,0.4447655975818634,4.999999873689376e-06
0.8167428374290466,0.5222162008285522,0.8414239287376404,0.4655381441116333,2.499999936844688e-06
0.8167428374290466,0.5227242708206177,0.8505615592002869,0.4416930079460144,2.499999936844688e-06
0.8185378313064575,0.5283635258674622,0.8482771515846252,0.45430484414100647,2.499999936844688e-06
0.8204144835472107,0.5132272839546204,0.8553207516670227,0.42426133155822754,2.499999936844688e-06
0.8216384053230286,0.5133259892463684,0.845231294631958,0.4476149082183838,2.499999936844688e-06
0.8138054609298706,0.5213578939437866,0.8513230681419373,0.44068968296051025,2.499999936844688e-06
0.8140502572059631,0.5147945284843445,0.8459927439689636,0.459755003452301,2.499999936844688e-06
0.8160085082054138,0.5124520659446716,0.8475157022476196,0.45866653323173523,2.499999936844688e-06
0.8222911357879639,0.5018332600593567,0.8461831212043762,0.44864532351493835,1.249999968422344e-06
0.8239229917526245,0.5011520385742188,0.8534170985221863,0.43853795528411865,1.249999968422344e-06
0.8250652551651001,0.502782940864563,0.8498001098632812,0.44517484307289124,1.249999968422344e-06
0.827349841594696,0.4991246461868286,0.8553207516670227,0.4344431459903717,1.249999968422344e-06
0.8173955678939819,0.514107346534729,0.8562725782394409,0.420481413602829,9.999999974752427e-07
0.8262075781822205,0.49296608567237854,0.8509423136711121,0.4488722085952759,9.999999974752427e-07
0.8276762366294861,0.48916175961494446,0.8478964567184448,0.44144877791404724,9.999999974752427e-07
0.8288185596466064,0.4889373779296875,0.8505615592002869,0.4379414916038513,9.999999974752427e-07
0.829960823059082,0.48554471135139465,0.8553207516670227,0.43626800179481506,9.999999974752427e-07
0.8288185596466064,0.4891674518585205,0.8557015061378479,0.42880478501319885,9.999999974752427e-07
0.8239229917526245,0.5045178532600403,0.8511326909065247,0.43047890067100525,9.999999974752427e-07
0.8244941234588623,0.48803240060806274,0.8547496795654297,0.4283386468887329,9.999999974752427e-07
0.8235965967178345,0.4994097650051117,0.8524652719497681,0.43978533148765564,9.999999974752427e-07
0.8232702612876892,0.49388036131858826,0.8528459668159485,0.42947933077812195,9.999999974752427e-07
0.8296344876289368,0.47963470220565796,0.8536074757575989,0.4314662516117096,9.999999974752427e-07
0.8259627819061279,0.4949667155742645,0.8511326909065247,0.44119125604629517,9.999999974752427e-07
0.8293896913528442,0.4847271740436554,0.8558918833732605,0.42966923117637634,9.999999974752427e-07
0.8320822715759277,0.47962671518325806,0.8511326909065247,0.4364908039569855,9.999999974752427e-07
0.8258811831474304,0.48699715733528137,0.8528459668159485,0.4415934681892395,9.999999974752427e-07
0.8260443806648254,0.4913633167743683,0.8530363440513611,0.4359376132488251,9.999999974752427e-07
0.8330613374710083,0.4721566140651703,0.8547496795654297,0.43456315994262695,9.999999974752427e-07
