learning_rate,loss,accuracy,val_accuracy,val_loss,epoch
0.0010000000474974513,1.1784641742706299,0.5996246933937073,0.7011231780052185,0.8708573579788208,1
0.0010000000474974513,0.9746385216712952,0.6581266522407532,0.7245383858680725,0.7931808829307556,2
0.0010000000474974513,0.9311052560806274,0.6708551049232483,0.7317723035812378,0.7662045955657959,3
0.0010000000474974513,0.8770042657852173,0.6914980411529541,0.7380544543266296,0.748978316783905,4
0.0010000000474974513,0.864145040512085,0.6968015432357788,0.7498572468757629,0.7130325436592102,5
0.0010000000474974513,0.8391434550285339,0.7063478827476501,0.7704169154167175,0.6649977564811707,6
0.0010000000474974513,0.8087298274040222,0.7196475267410278,0.772320568561554,0.6460803747177124,7
0.0010000000474974513,0.8062968254089355,0.7173629403114319,0.7827907800674438,0.6147423982620239,8
0.0010000000474974513,0.7890554666519165,0.7256037592887878,0.7787930965423584,0.6305223703384399,9
0.0010000000474974513,0.7873479127883911,0.7236455678939819,0.7812678217887878,0.6233856081962585,10
0.0010000000474974513,0.7632150650024414,0.7313968539237976,0.7818389534950256,0.6195790767669678,11
0.0010000000474974513,0.759804368019104,0.7354764938354492,0.7955453991889954,0.5877196788787842,12
0.0010000000474974513,0.7505642771720886,0.7347421646118164,0.7921187877655029,0.5998033881187439,13
0.0010000000474974513,0.7439109086990356,0.7426566481590271,0.7932609915733337,0.596701979637146,14
0.0010000000474974513,0.7315073013305664,0.7382506728172302,0.7789834141731262,0.6180745363235474,15
0.0010000000474974513,0.7365114688873291,0.7401272654533386,0.8084903955459595,0.5623071789741516,16
0.0010000000474974513,0.7231738567352295,0.75032639503479,0.7989720106124878,0.5597748756408691,17
0.0010000000474974513,0.7361918091773987,0.7406984567642212,0.8054444789886475,0.5420417785644531,18
0.0010000000474974513,0.7357818484306335,0.7428198456764221,0.8132495880126953,0.5391339063644409,19
0.0010000000474974513,0.7220361232757568,0.7513054609298706,0.7917380332946777,0.5722804665565491,20
0.0010000000474974513,0.7120115756988525,0.7517134547233582,0.7984009385108948,0.5662439465522766,21
0.0010000000474974513,0.7043092846870422,0.7518766522407532,0.8090614676475525,0.5588739514350891,22
0.0010000000474974513,0.708145260810852,0.7490208745002747,0.8193413019180298,0.5230099558830261,23
0.0010000000474974513,0.7011271119117737,0.7536716461181641,0.8130592107772827,0.519708514213562,24
0.0010000000474974513,0.6986168622970581,0.756119430065155,0.8090614676475525,0.5240985155105591,25
0.0010000000474974513,0.6893861889839172,0.7593831419944763,0.8119170069694519,0.5408378839492798,26
0.0010000000474974513,0.6942277550697327,0.7541612386703491,0.8220064640045166,0.5280328989028931,27
0.0010000000474974513,0.6904627680778503,0.7604438662528992,0.825433075428009,0.49736255407333374,28
0.0010000000474974513,0.6872866749763489,0.761504590511322,0.8164858222007751,0.5128490328788757,29
0.0010000000474974513,0.6835241913795471,0.7612597942352295,0.8043022751808167,0.5509400367736816,30
0.0010000000474974513,0.6802372932434082,0.7569353580474854,0.8119170069694519,0.5331154465675354,31
0.0010000000474974513,0.6673545837402344,0.7635443806648254,0.8162954449653625,0.51503586769104,32
0.0010000000474974513,0.6651110649108887,0.7624021172523499,0.8105844259262085,0.5335112810134888,33
0.0010000000474974513,0.6748957633972168,0.7628916501998901,0.8136302828788757,0.518519401550293,34
