epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6261518597602844,0.0010000000474974513,1.091110110282898,0.7275011539459229,0.8076488971710205
1,0.693244993686676,0.0010000000474974513,0.8853552937507629,0.7578803300857544,0.7105563282966614
2,0.7089330554008484,0.0010000000474974513,0.8233622312545776,0.7862037420272827,0.6171988248825073
3,0.7210417985916138,0.0010000000474974513,0.7869991064071655,0.775011420249939,0.6843653917312622
4,0.7298758625984192,0.0010000000474974513,0.7744093537330627,0.7935130000114441,0.5943339467048645
5,0.7352067828178406,0.0010000000474974513,0.7497144341468811,0.7980813384056091,0.5715872645378113
6,0.7451069951057434,0.0010000000474974513,0.7269230484962463,0.8104156851768494,0.5613391995429993
7,0.7533317804336548,0.0010000000474974513,0.7065555453300476,0.8195523023605347,0.509581446647644
8,0.7502855658531189,0.0010000000474974513,0.7072561383247375,0.8035632967948914,0.5639594197273254
9,0.7603381276130676,0.0010000000474974513,0.6943926811218262,0.8117861747741699,0.5278989672660828
10,0.7553118467330933,0.0010000000474974513,0.6962978839874268,0.8149840235710144,0.5276741981506348
11,0.7717614769935608,0.0005000000237487257,0.6595078706741333,0.8302878141403198,0.48701125383377075
12,0.7732846140861511,0.0005000000237487257,0.6373938322067261,0.8284604549407959,0.47948822379112244
13,0.7777016162872314,0.0005000000237487257,0.6321633458137512,0.8403380513191223,0.4558506906032562
14,0.779529333114624,0.0005000000237487257,0.6274709105491638,0.8302878141403198,0.4949725866317749
15,0.7850125432014465,0.0005000000237487257,0.6150567531585693,0.8339424133300781,0.4554799199104309
16,0.7835655808448792,0.0005000000237487257,0.6213580369949341,0.8417085409164429,0.44909361004829407
17,0.7854694724082947,0.0005000000237487257,0.6135146021842957,0.8398812413215637,0.4572506248950958
18,0.7845556139945984,0.0005000000237487257,0.6161603331565857,0.8412517309188843,0.4562020003795624
19,0.7874495387077332,0.0005000000237487257,0.6052500009536743,0.840109646320343,0.4586503207683563
20,0.7869164347648621,0.0002500000118743628,0.6042205095291138,0.8389675617218018,0.44993317127227783
21,0.7955220341682434,0.0002500000118743628,0.5824018120765686,0.847875714302063,0.42886826395988464
22,0.7973498106002808,0.0002500000118743628,0.5818361043930054,0.8533576726913452,0.43081939220428467
23,0.7963597774505615,0.0002500000118743628,0.5824180245399475,0.848789393901825,0.4326053857803345
24,0.7957504987716675,0.0002500000118743628,0.5863162875175476,0.8515303730964661,0.4251895248889923
25,0.7975782752037048,0.0002500000118743628,0.5739068984985352,0.8476473093032837,0.4284452199935913
26,0.7975782752037048,0.0002500000118743628,0.5802803635597229,0.8513019680976868,0.42875000834465027
27,0.7953697443008423,0.0002500000118743628,0.5796356201171875,0.8467336893081665,0.4295559823513031
28,0.80450838804245,0.0001250000059371814,0.5616304278373718,0.8508451581001282,0.4267491102218628
29,0.8073261976242065,0.0001250000059371814,0.5591580867767334,0.8506166934967041,0.4260040819644928
30,0.8038229942321777,0.0001250000059371814,0.5589081645011902,0.8529008626937866,0.41452276706695557
31,0.8034422397613525,0.0001250000059371814,0.554957926273346,0.8519871830940247,0.4172079861164093
32,0.8046607375144958,0.0001250000059371814,0.559822678565979,0.8572407364845276,0.40454038977622986
33,0.8008529543876648,0.0001250000059371814,0.5636239051818848,0.8526724576950073,0.41590985655784607
34,0.8033660650253296,0.0001250000059371814,0.5596287250518799,0.8551850318908691,0.4069298803806305
35,0.8036707043647766,0.0001250000059371814,0.5584242343902588,0.8513019680976868,0.4112033545970917
36,0.8074784874916077,6.25000029685907e-05,0.5559647679328918,0.8554134368896484,0.40781885385513306
37,0.8035945296287537,6.25000029685907e-05,0.5601248741149902,0.8574691414833069,0.40454092621803284
38,0.8079354166984558,6.25000029685907e-05,0.5517417788505554,0.8581544160842896,0.40560218691825867
39,0.808316171169281,3.125000148429535e-05,0.5497836470603943,0.8560986518859863,0.407090425491333
40,0.8041276335716248,3.125000148429535e-05,0.5602155327796936,0.8556418418884277,0.40687721967697144
41,0.8100677728652954,3.125000148429535e-05,0.5426276326179504,0.8538145422935486,0.4086332321166992
42,0.8109816312789917,1.5625000742147677e-05,0.5451050400733948,0.8556418418884277,0.4059019684791565
43,0.8059553503990173,1.5625000742147677e-05,0.5453774929046631,0.8551850318908691,0.406175434589386
44,0.8087731599807739,1.5625000742147677e-05,0.546604573726654,0.855870246887207,0.40674394369125366
45,0.8097631335258484,7.812500371073838e-06,0.5468672513961792,0.856783926486969,0.40601250529289246
46,0.8058030605316162,7.812500371073838e-06,0.5591330528259277,0.8579260110855103,0.40423569083213806
47,0.8109055161476135,7.812500371073838e-06,0.5469763875007629,0.8579260110855103,0.4037255048751831
48,0.8055745959281921,7.812500371073838e-06,0.5566549897193909,0.856783926486969,0.4051990211009979
49,0.8098393082618713,7.812500371073838e-06,0.5442596077919006,0.8574691414833069,0.4046742022037506
50,0.8117431998252869,7.812500371073838e-06,0.5445076823234558,0.8565555214881897,0.40473559498786926
51,0.8109816312789917,3.906250185536919e-06,0.5405523180961609,0.856783926486969,0.404463529586792
52,0.8058792352676392,3.906250185536919e-06,0.5541178584098816,0.8574691414833069,0.40471112728118896
53,0.8102962374687195,3.906250185536919e-06,0.5424637198448181,0.8572407364845276,0.4048285484313965
54,0.809001624584198,1.9531250927684596e-06,0.5511445999145508,0.8572407364845276,0.4046669900417328
