epoch,accuracy,loss,val_accuracy,val_loss
0,0.7850848436355591,0.6189578771591187,0.8344118595123291,0.4863434135913849
1,0.8016481995582581,0.563133716583252,0.8496383428573608,0.4348035752773285
2,0.8171507716178894,0.5390189290046692,0.851161003112793,0.41834786534309387
3,0.821556806564331,0.5174188613891602,0.8496383428573608,0.43347498774528503
4,0.8279210329055786,0.49342548847198486,0.8583936095237732,0.4026535451412201
5,0.8307767510414124,0.48136571049690247,0.8682908415794373,0.3983428478240967
6,0.8382017016410828,0.46971556544303894,0.856109619140625,0.4077298939228058
7,0.8384464979171753,0.4614652097225189,0.8751427531242371,0.3695623576641083
8,0.8420365452766418,0.4495827257633209,0.869432806968689,0.3774469196796417
9,0.8482375741004944,0.4361812174320221,0.8838979601860046,0.35255008935928345
10,0.8510117530822754,0.43060681223869324,0.8751427531242371,0.3584859371185303
11,0.8535411357879639,0.4226154386997223,0.8759040832519531,0.3697601854801178
12,0.8594973683357239,0.40610796213150024,0.887704610824585,0.33748742938041687
13,0.8554177284240723,0.4108736217021942,0.8934145569801331,0.3313984274864197
14,0.8603948950767517,0.4050229489803314,0.8880852460861206,0.3403983414173126
15,0.8635770082473755,0.3922414481639862,0.887704610824585,0.33848658204078674
16,0.8631690740585327,0.39268970489501953,0.8873239159584045,0.3290785551071167
17,0.8655352592468262,0.38436663150787354,0.8774267435073853,0.35676488280296326
18,0.8665143847465515,0.381249338388443,0.8979824781417847,0.30880168080329895
19,0.8687989711761475,0.3828831911087036,0.8896079063415527,0.3323424756526947
20,0.8702676296234131,0.36761778593063354,0.8991245031356812,0.31487229466438293
21,0.8718994855880737,0.3759312331676483,0.9021697640419006,0.2950568199157715
22,0.8786716461181641,0.35807183384895325,0.8941758871078491,0.292041540145874
23,0.8745920658111572,0.35791125893592834,0.897601842880249,0.3042598366737366
24,0.8782637119293213,0.35220691561698914,0.9002664685249329,0.30767545104026794
25,0.8764686584472656,0.35693007707595825,0.9055957198143005,0.293608695268631
26,0.88128262758255,0.34211328625679016,0.9036924242973328,0.29123228788375854
27,0.8804666996002197,0.3454363942146301,0.896840512752533,0.31721317768096924
28,0.8884627819061279,0.327607661485672,0.9033117890357971,0.29454749822616577
29,0.8882995843887329,0.32193872332572937,0.8945565223693848,0.31406545639038086
30,0.8856070637702942,0.3327542543411255,0.8998857736587524,0.29139426350593567
31,0.8885443806648254,0.3133333623409271,0.9002664685249329,0.30642443895339966
32,0.8914816975593567,0.3082284927368164,0.9048343896865845,0.283650666475296
33,0.9004569053649902,0.28818514943122864,0.9052150845527649,0.283485472202301
34,0.8970300555229187,0.29631417989730835,0.9094023704528809,0.28678327798843384
35,0.8941742777824402,0.2975779175758362,0.9128283262252808,0.2622489929199219
36,0.8998041749000549,0.29431870579719543,0.9063570499420166,0.28515589237213135
37,0.9007833003997803,0.28783461451530457,0.915112316608429,0.2571701407432556
38,0.8985803127288818,0.29169750213623047,0.9105443358421326,0.27799639105796814
39,0.9023335576057434,0.2819781005382538,0.9135896563529968,0.2749210596084595
40,0.9029046893119812,0.2758118808269501,0.911686360836029,0.2756900191307068
41,0.9021703600883484,0.2777329385280609,0.9120669960975647,0.27741336822509766
42,0.90625,0.27481377124786377,0.9181575775146484,0.2610962390899658
43,0.9073923230171204,0.2639249265193939,0.9162542819976807,0.26722779870033264
44,0.908697783946991,0.2638281285762787,0.9219642281532288,0.254680335521698
45,0.906086802482605,0.27224329113960266,0.9231061935424805,0.25709351897239685
46,0.9071475267410278,0.26676449179649353,0.9139702916145325,0.2669203579425812
47,0.9098401069641113,0.26825836300849915,0.9231061935424805,0.25606176257133484
48,0.9079634547233582,0.25834736227989197,0.9162542819976807,0.27018627524375916
49,0.9111455678939819,0.25831902027130127,0.9215835332870483,0.26089516282081604
50,0.9117166996002197,0.25355276465415955,0.9219642281532288,0.25987887382507324
51,0.9111455678939819,0.259798526763916,0.9189189076423645,0.2687712609767914
52,0.9104112386703491,0.2563057243824005,0.9192996025085449,0.2684488892555237
53,0.9109007716178894,0.26062604784965515,0.9147316217422485,0.2686631679534912
54,0.9112271666526794,0.2534050941467285,0.9166349172592163,0.2705395221710205
55,0.9161227345466614,0.24846094846725464,0.9177769422531128,0.26400741934776306
56,0.911308765411377,0.25465160608291626,0.9143509864807129,0.2708144187927246
57,0.9116351008415222,0.2534281611442566,0.9181575775146484,0.2631705701351166
58,0.9117166996002197,0.256350040435791,0.9215835332870483,0.2562255263328552
59,0.912369430065155,0.24608173966407776,0.9196802377700806,0.2646348476409912
60,0.9122062921524048,0.253168523311615,0.9189189076423645,0.2607661485671997
61,0.9130222201347351,0.247824564576149,0.9177769422531128,0.26651254296302795
