loss,val_loss,learning_rate,accuracy,val_accuracy,epoch
1.261859655380249,1.0365971326828003,0.0010000000474974513,0.5811031460762024,0.6398934125900269,1
1.0723975896835327,0.920520544052124,0.0010000000474974513,0.6267950534820557,0.6832889318466187,2
1.0570276975631714,0.9466201066970825,0.0010000000474974513,0.6316906213760376,0.6627331376075745,3
1.004775881767273,0.8760167360305786,0.0010000000474974513,0.6491514444351196,0.6893795132637024,4
0.9808045029640198,0.8811432719230652,0.0010000000474974513,0.658860981464386,0.6992767453193665,5
0.9719939231872559,0.884211540222168,0.0010000000474974513,0.6635933518409729,0.6996573805809021,6
0.9460245370864868,0.8029748797416687,0.0010000000474974513,0.6729764938354492,0.7129805684089661,7
0.9515721201896667,0.8208233714103699,0.0010000000474974513,0.6681625247001648,0.7118386030197144,8
0.934866726398468,0.7741687893867493,0.0010000000474974513,0.6729764938354492,0.7342976927757263,9
0.9204158186912537,0.8109180331230164,0.0010000000474974513,0.6755874752998352,0.7312523722648621,10
0.9050489068031311,0.8095807433128357,0.0010000000474974513,0.6843994855880737,0.7148839235305786,11
0.8932800889015198,0.8344699740409851,0.0010000000474974513,0.6835019588470459,0.7099353075027466,12
0.8941231369972229,0.7633767127990723,0.0010000000474974513,0.685052216053009,0.7335363626480103,13
0.8974119424819946,0.843948245048523,0.0010000000474974513,0.6812989711761475,0.6977540850639343,14
0.8762935400009155,0.8240256309509277,0.0010000000474974513,0.6935378313064575,0.7129805684089661,15
0.8766663670539856,0.7569249868392944,0.0010000000474974513,0.6954960823059082,0.7297297120094299,16
0.8753912448883057,0.7418076395988464,0.0010000000474974513,0.692558765411377,0.725542426109314,17
0.8630321621894836,0.7845496535301208,0.0010000000474974513,0.6972095370292664,0.717167854309082,18
0.8651113510131836,0.7277879118919373,0.0010000000474974513,0.6991677284240723,0.7422915697097778,19
0.8724275827407837,0.7797740697860718,0.0010000000474974513,0.6929666996002197,0.716406524181366,20
0.8543500304222107,0.7592865228652954,0.0010000000474974513,0.701125979423523,0.7312523722648621,21
0.8616271018981934,0.7415786385536194,0.0010000000474974513,0.7022683024406433,0.7308717370033264,22
0.8487562537193298,0.7248257994651794,0.0010000000474974513,0.702349841594696,0.7468595504760742,23
0.847266435623169,0.7542285919189453,0.0010000000474974513,0.704797625541687,0.7400076389312744,24
0.8550151586532593,0.6959736943244934,0.0010000000474974513,0.6989229917526245,0.7613247036933899,25
0.8464116454124451,0.7291473746299744,0.0010000000474974513,0.7062663435935974,0.74381422996521,26
0.837013840675354,0.7178534865379333,0.0010000000474974513,0.7071638107299805,0.74381422996521,27
0.8340526819229126,0.809097945690155,0.0010000000474974513,0.7063478827476501,0.7190712094306946,28
0.8288398385047913,0.7484941482543945,0.0010000000474974513,0.7070822715759277,0.7464788556098938,29
0.8194007873535156,0.76743483543396,0.0010000000474974513,0.7167102098464966,0.7312523722648621,30
0.8212561011314392,0.6997181177139282,0.0010000000474974513,0.7094484567642212,0.7514274716377258,31
0.8359644412994385,0.7404653429985046,0.0010000000474974513,0.7097747921943665,0.7331556677818298,32
0.8271210789680481,0.7362027764320374,0.0010000000474974513,0.7083877325057983,0.7460982203483582,33
0.8282991647720337,0.6954357624053955,0.0010000000474974513,0.7112434506416321,0.753711462020874,34
0.821757435798645,0.7249037623405457,0.0010000000474974513,0.7109171152114868,0.7514274716377258,35
0.8173412084579468,0.7114763855934143,0.0010000000474974513,0.7151598930358887,0.7483822107315063,36
0.8114494681358337,0.6836265921592712,0.0010000000474974513,0.7180156707763672,0.7552341222763062,37
0.8156238794326782,0.6750971078872681,0.0010000000474974513,0.7183420658111572,0.7742671966552734,38
0.8152782320976257,0.6514353156089783,0.0010000000474974513,0.716302216053009,0.7727445960044861,39
0.8197349905967712,0.6911178231239319,0.0010000000474974513,0.7181788682937622,0.7533307671546936,40
0.8032721877098083,0.6717569231987,0.0010000000474974513,0.7194027304649353,0.7609440684318542,41
0.8041857481002808,0.6673586964607239,0.0010000000474974513,0.7144255638122559,0.7681766152381897,42
0.7962721586227417,0.6926231980323792,0.0010000000474974513,0.7240535020828247,0.752950131893158,43
0.8165014386177063,0.6921388506889343,0.0010000000474974513,0.7153230905532837,0.7617053389549255,44
0.8173782825469971,0.6562955975532532,0.0010000000474974513,0.7133648991584778,0.767795979976654,45
0.7974186539649963,0.673505425453186,0.0010000000474974513,0.71842360496521,0.7651313543319702,46
0.8121167421340942,0.7097974419593811,0.0010000000474974513,0.7139360308647156,0.7556147575378418,47
0.8042275905609131,0.680913507938385,0.0010000000474974513,0.721034586429596,0.7563760876655579,48
0.7957828044891357,0.7038066387176514,0.0010000000474974513,0.7234007716178894,0.7358203530311584,49
0.7972120642662048,0.6776064038276672,0.0010000000474974513,0.7209529876708984,0.758660078048706,50
0.8105856776237488,0.7022804617881775,0.0010000000474974513,0.7180972695350647,0.7476208806037903,51
0.7978684306144714,0.7082515954971313,0.0010000000474974513,0.7179340720176697,0.7495241761207581,52
0.792868435382843,0.6615795493125916,0.0010000000474974513,0.7234823703765869,0.7708412408828735,53
0.803490161895752,0.6845884919166565,0.0010000000474974513,0.7123041749000549,0.7548534274101257,54
0.7946922183036804,0.6336476802825928,0.0010000000474974513,0.7223401069641113,0.7757898569107056,55
0.8010085821151733,0.6715562343597412,0.0010000000474974513,0.7244614958763123,0.767795979976654,56
0.7963019609451294,0.7192201614379883,0.0010000000474974513,0.7198107242584229,0.74381422996521,57
0.7996516823768616,0.6591751575469971,0.0010000000474974513,0.7188315987586975,0.7613247036933899,58
0.786747932434082,0.6481634378433228,0.0010000000474974513,0.7249510288238525,0.7716025710105896,59
0.7985876202583313,0.6561956405639648,0.0010000000474974513,0.7212793827056885,0.7666539549827576,60
0.7931879758834839,0.6981141567230225,0.0010000000474974513,0.7245430946350098,0.7544727921485901,61
0.7884703874588013,0.6282105445861816,0.0010000000474974513,0.7247878313064575,0.7746478915214539,62
0.7872555255889893,0.6510953307151794,0.0010000000474974513,0.7269908785820007,0.7643700242042542,63
0.7858368754386902,0.6424170136451721,0.0010000000474974513,0.7249510288238525,0.7696992754936218,64
0.7853677272796631,0.6587799787521362,0.0010000000474974513,0.7238903641700745,0.7742671966552734,65
0.776724636554718,0.633983850479126,0.0010000000474974513,0.7275620102882385,0.7773125171661377,66
0.7780382633209229,0.6485720872879028,0.0010000000474974513,0.7273988127708435,0.7662733197212219,67
0.7737858891487122,0.6240167021751404,0.0010000000474974513,0.7317232489585876,0.7750285267829895,68
0.7850282192230225,0.6345393061637878,0.0010000000474974513,0.7255222201347351,0.77198326587677,69
0.7890674471855164,0.6696786880493164,0.0010000000474974513,0.723808765411377,0.7651313543319702,70
0.7713592052459717,0.6094003319740295,0.0010000000474974513,0.7290306687355042,0.7872097492218018,71
0.7806535959243774,0.6242232322692871,0.0010000000474974513,0.7254406213760376,0.7788351774215698,72
0.7711517810821533,0.6389302611351013,0.0010000000474974513,0.7343342304229736,0.7773125171661377,73
0.7779746651649475,0.6233749985694885,0.0010000000474974513,0.729928195476532,0.7795965075492859,74
0.7744752764701843,0.6572560667991638,0.0010000000474974513,0.7260117530822754,0.767034649848938,75
0.767117977142334,0.644094705581665,0.0010000000474974513,0.730091392993927,0.77198326587677,76
0.7710832357406616,0.6531500816345215,0.0010000000474974513,0.7345789670944214,0.7776932120323181,77
0.7710086107254028,0.6370522975921631,0.0010000000474974513,0.7272356152534485,0.7773125171661377,78
0.7844159603118896,0.6362810730934143,0.0010000000474974513,0.7279699444770813,0.776931881904602,79
0.7716870307922363,0.6183701753616333,0.0010000000474974513,0.7296833992004395,0.7754092216491699,80
0.7719374895095825,0.624783992767334,0.0010000000474974513,0.7315600514411926,0.7814998030662537,81
0.7728266716003418,0.6104667782783508,0.0010000000474974513,0.7326207756996155,0.7864484190940857,82
0.7605887055397034,0.6329854726791382,0.0010000000474974513,0.7352316975593567,0.7727445960044861,83
0.7751697301864624,0.6384850740432739,0.0010000000474974513,0.729928195476532,0.7750285267829895,84
0.7573970556259155,0.6636177897453308,0.0010000000474974513,0.7313152551651001,0.7658926248550415,85
0.7657749652862549,0.6219499707221985,0.0010000000474974513,0.7354764938354492,0.7834030985832214,86
0.766913652420044,0.657041072845459,0.0010000000474974513,0.7316416501998901,0.7738865613937378,87
0.7386455535888672,0.6228076815605164,0.0005000000237487257,0.7408615946769714,0.7788351774215698,88
0.7364923357963562,0.584143340587616,0.0005000000237487257,0.7408615946769714,0.7933003306388855,89
0.754586398601532,0.6070825457572937,0.0005000000237487257,0.736047625541687,0.7875903844833374,90
0.7338342070579529,0.6035958528518677,0.0005000000237487257,0.7450228333473206,0.7864484190940857,91
0.7370901107788086,0.6205576062202454,0.0005000000237487257,0.7404536604881287,0.7822611331939697,92
0.7274473309516907,0.6319911479949951,0.0005000000237487257,0.7463283538818359,0.7746478915214539,93
0.7247608304023743,0.6011274456977844,0.0005000000237487257,0.7502447962760925,0.7993909120559692,94
0.723812997341156,0.599033772945404,0.0005000000237487257,0.74967360496521,0.7913970351219177,95
0.7282792329788208,0.6173770427703857,0.0005000000237487257,0.7417591214179993,0.7875903844833374,96
0.7337229251861572,0.6490001678466797,0.0005000000237487257,0.7428198456764221,0.7735059261322021,97
0.7328863143920898,0.6191668510437012,0.0005000000237487257,0.7415959239006042,0.7826417684555054,98
0.7214949727058411,0.6084188222885132,0.0005000000237487257,0.7520397901535034,0.7883517146110535,99
0.7237279415130615,0.6354348659515381,0.0005000000237487257,0.7451044321060181,0.7788351774215698,100
0.7359228134155273,0.6068255305290222,0.0005000000237487257,0.7451860308647156,0.7864484190940857,101
0.7292662262916565,0.6347441077232361,0.0005000000237487257,0.7479602098464966,0.7788351774215698,102
0.7269535064697266,0.6188716292381287,0.0005000000237487257,0.7429830431938171,0.7837837934494019,103
0.7163009643554688,0.5814673900604248,0.0005000000237487257,0.7480417490005493,0.794442355632782,104
0.7273648977279663,0.6112616062164307,0.0005000000237487257,0.7429830431938171,0.7814998030662537,105
0.7204760313034058,0.5879955887794495,0.0005000000237487257,0.7440437078475952,0.7997716069221497,106
0.7213746905326843,0.6153144240379333,0.0005000000237487257,0.7453492283821106,0.7887324094772339,107
0.7283873558044434,0.5924268364906311,0.0005000000237487257,0.7425750494003296,0.7936810255050659,108
0.7230337858200073,0.6259109377861023,0.0005000000237487257,0.7444517016410828,0.781119167804718,109
0.7221022248268127,0.582973062992096,0.0005000000237487257,0.7478786110877991,0.7971069812774658,110
0.734214186668396,0.5761358141899109,0.0005000000237487257,0.7444517016410828,0.7955843210220337,111
0.7257285714149475,0.6068081855773926,0.0005000000237487257,0.7466546893119812,0.785306453704834,112
