epoch,accuracy,loss,val_accuracy,val_loss
0,0.8587630391120911,0.4135395288467407,0.9208222031593323,0.25467780232429504
1,0.8625163435935974,0.4005815088748932,0.9166349172592163,0.2449595034122467
2,0.8656984567642212,0.38745197653770447,0.9147316217422485,0.24812394380569458
3,0.8627610802650452,0.3903293013572693,0.9234868884086609,0.23299387097358704
4,0.8689621686935425,0.37696373462677,0.9181575775146484,0.2412385791540146
5,0.8726338148117065,0.3712187707424164,0.9272934794425964,0.23238784074783325
6,0.8789164423942566,0.3606981039047241,0.9276741743087769,0.22689537703990936
7,0.8728786110877991,0.366489052772522,0.9250094890594482,0.2244548499584198
8,0.877284586429596,0.35846027731895447,0.9215835332870483,0.2314528226852417
9,0.8762238621711731,0.3574674129486084,0.9299581050872803,0.21496427059173584
10,0.8786716461181641,0.34938013553619385,0.9261515140533447,0.21711371839046478
11,0.8808746933937073,0.3477027714252472,0.9253901839256287,0.226927250623703
12,0.8817722201347351,0.34067302942276,0.9299581050872803,0.21220269799232483
13,0.8827512860298157,0.3456481099128723,0.9166349172592163,0.23469790816307068
14,0.8795691728591919,0.3457435369491577,0.9192996025085449,0.23819561302661896
15,0.8784269094467163,0.35021817684173584,0.9185382723808289,0.237026646733284
16,0.8829144835472107,0.34265267848968506,0.9284355044364929,0.21386578679084778
17,0.8825065493583679,0.33740246295928955,0.9288161396980286,0.21036529541015625
18,0.8905026316642761,0.31995630264282227,0.9276741743087769,0.20777003467082977
19,0.8864229917526245,0.3261176645755768,0.9295774698257446,0.21536031365394592
20,0.8908289670944214,0.31705930829048157,0.9341453909873962,0.20353280007839203
21,0.8894419074058533,0.31456509232521057,0.9291967749595642,0.20820912718772888
22,0.8896051049232483,0.3182830214500427,0.9246288537979126,0.21699181199073792
23,0.8941742777824402,0.3141222298145294,0.9307194352149963,0.20971716940402985
24,0.8896867036819458,0.32282501459121704,0.9322420954704285,0.20046475529670715
25,0.8892787098884583,0.3227621018886566,0.9356680512428284,0.19704928994178772
26,0.8891155123710632,0.3146406412124634,0.9333840608596802,0.20695750415325165
27,0.8916448950767517,0.3125831186771393,0.9280548095703125,0.2065044641494751
28,0.8927056193351746,0.31056541204452515,0.9265321493148804,0.21017147600650787
29,0.8976011872291565,0.3032042980194092,0.924248218536377,0.2283022254705429
30,0.8933583498001099,0.30281582474708557,0.9288161396980286,0.20659835636615753
31,0.897519588470459,0.29850849509239197,0.9276741743087769,0.2065575122833252
32,0.8946638107299805,0.30185461044311523,0.9314807653427124,0.20342382788658142
33,0.8945006728172302,0.30308881402015686,0.9303387999534607,0.19790485501289368
34,0.8984987139701843,0.29862141609191895,0.9322420954704285,0.19944316148757935
35,0.8998857736587524,0.3045656383037567,0.9322420954704285,0.20122119784355164
36,0.8967852592468262,0.30075475573539734,0.9299581050872803,0.20494690537452698
37,0.8942558765411377,0.3088225722312927,0.9318614602088928,0.20023562014102936
38,0.8956429362297058,0.30339258909225464,0.9307194352149963,0.2024923861026764
39,0.8980091214179993,0.2979281544685364,0.9314807653427124,0.20347999036312103
40,0.8967852592468262,0.2965277433395386,0.9299581050872803,0.20471061766147614
41,0.8986618518829346,0.2979438900947571,0.9314807653427124,0.20519843697547913
